Averaged Steps Traning	Averaged Return Training	Averaged Steps Validation	Averaged Return Validation	Cumulative Successes	Number of episodes	Sampling time (s)	Epsilon threshold	Gradient update	Updates target network	Average q-value evaluation
30.0	-15.92	61.0	-23.64	2	20	0.026566600799560545	0.8942607137851049	0	523	0.14983241260051727
30.0	-14.81	67.0	-34.37	5	40	0.011613500118255616	0.888402964518544	0	1060	0.14983241260051727
18.0	-0.41	54.0	-23.23	10	60	0.005785361925760905	0.8829814304024776	0	1559	0.14983241260051727
30.0	-15.1	70.0	-30.29	12	80	0.005629292130470276	0.8773260299878409	0	2084	0.14983241260051727
1.0	0.0	69.0	-30.0	14	100	0.00026096343994140624	0.8717295690344616	0	2607	0.14983241260051727
30.0	-9.27	100.0	-36.23	15	120	0.004393855730692546	0.8658853555828012	0	3158	0.14983241260051727
3.0	-0.1	59.0	-25.62	21	140	0.0003965939794267927	0.8613393085048585	0	3585	0.14983241260051727
30.0	-8.33	88.0	-36.89	25	160	0.0031734704971313477	0.8562237822843781	0	4071	0.14983241260051727
3.0	-0.12	52.0	-20.06	27	180	0.0002537197536892361	0.8506399532793512	0	4607	0.14983241260051727
30.0	-19.56	98.0	-36.14	30	200	0.0024357235431671145	0.8449954167030858	0	5153	0.14983241260051727
30.0	-9.63	49.0	-17.6	33	220	0.002137602459300648	0.8398348314470447	0	5654	0.14983241260051727
30.0	-16.02	57.0	-20.59	37	240	0.0020422856012980144	0.834668510896206	0	6159	0.14983241260051727
30.0	-19.22	100.0	-44.29	40	260	0.002478364797738882	0.8293313819789867	526	6159	-0.29035258293151855
20.0	-0.14	100.0	-37.56	48	280	0.0015762243952069965	0.824727496021427	980	6159	-0.29927828907966614
30.0	-11.34	42.0	-7.5	51	300	0.002072110970815023	0.8192367961541612	1529	6159	-0.2907634675502777
30.0	-7.69	81.0	-29.87	55	320	0.0019787468016147615	0.8143007392584684	2024	6159	-0.29604771733283997
30.0	-10.14	100.0	-37.79	58	340	0.0018522942767423742	0.8090736812914884	2553	6159	-0.2920032739639282
30.0	-19.66	100.0	-47.7	62	360	0.0018107599682278103	0.8038541011507304	3085	6159	-0.2879064977169037
30.0	-20.79	100.0	-33.33	68	380	0.0017074823379516601	0.799363252666701	3543	6159	-0.2884284257888794
30.0	-12.35	100.0	-52.62	69	400	0.0014521116018295288	0.794033714864428	4094	6159	-0.29354915022850037
30.0	-15.91	66.0	-31.84	72	420	0.0015617909885588146	0.7888621365493154	4632	6159	-0.3089964985847473
14.0	-0.12	48.0	-9.34	74	440	0.0006814772432500666	0.783735676123297	5169	6159	-0.30291566252708435
30.0	-8.49	100.0	-38.62	75	460	0.0013586241266001825	0.7784444349432426	5728	6159	-0.3098371922969818
30.0	-10.11	100.0	-46.59	78	480	0.0011378034949302673	0.7736344412586135	6238	6159	-0.28732091188430786
30.0	-13.12	65.0	-23.92	80	500	0.0011856741905212403	0.7687483881135089	6760	6159	-0.2989462912082672
30.0	-7.47	100.0	-20.34	82	520	0.0012092989224653978	0.7636633478123609	7308	6159	-0.3001304566860199
30.0	-19.57	82.0	-46.23	86	540	0.0010633058018154568	0.7589686791649705	7816	6160	-0.7159561514854431
