Step	Validation total_reward
11000	-1.36053287149634
12000	-0.6729004047937348
13000	-1.1039866713077426
14000	-1.2944555448576989
15000	-0.8411548688848851
16000	-1.019253040641735
17000	-1.5481057373866434
18000	-1.2101519906550169
19000	-1.678389226290239
20000	-1.6870906187188162
21000	-1.28896271491336
22000	-0.8707440680923256
23000	-0.9656839835051194
24000	-1.1833038409076408
25000	-1.3429603375936074
26000	-1.6035414279504718
27000	-1.5858244429451895
28000	-1.9714673215441947
29000	-0.6213485223383726
30000	-0.5521681935365975
31000	-1.3817839636981146
32000	-1.5855211169895038
33000	-1.3597407321605894
34000	-1.4756946309282042
35000	-0.7341941883652887
36000	-1.8062417693620896
37000	-1.1189337567260997
38000	-1.4773078467462457
39000	-1.0992971409808079
40000	-1.5846579606114186
41000	-1.1762281121563145
42000	-1.4604524698079262
43000	-1.4149091351094814
44000	-1.0804129745697688
45000	-0.7569117759179589
46000	-1.33806519308672
47000	-1.594477782073539
48000	-1.678767156569139
49000	-1.1678586666471702
50000	-1.6597869395808724
51000	-0.5184937915507971
52000	-0.7738374930959618
53000	-1.1640075396150038
54000	-1.385222321195353
55000	-1.5962592602635783
56000	-0.9648478849305984
57000	-1.3647805750236743
58000	-1.4449688882048457
59000	-1.3154197852686917
60000	-0.6060506663637938
61000	-1.0413139649226641
62000	-0.9046143777806306
63000	-1.4443229763400236
64000	-1.0238026798144186
65000	-1.048488884193556
66000	-1.0726772524341373
67000	-1.0265390180015703
68000	-1.209785011833119
