Averaged Steps Traning	Averaged Return Training	Averaged Steps Validation	Averaged Return Validation	Cumulative Successes	Number of episodes	Sampling time (s)	Epsilon threshold	Gradient update	Average q-value evaluation
60.0	-1.28	60.0	-1.29	1	20	0.022561073303222656	0.8048630555988964	0	1.2590782642364502
60.0	-1.58	53.0	-0.83	4	40	0.015936756134033205	0.7277214409660391	654	-0.002625818131491542
60.0	-0.81	53.0	-0.77	6	60	0.010773122310638428	0.6545209640786507	1777	-0.08983277529478073
60.0	-1.3	54.0	-0.6	9	80	0.008566629886627198	0.5915505151240218	2857	-0.17561689019203186
60.0	-0.79	39.0	-0.07	10	100	0.006856689453125	0.5318516803040174	4005	-0.25685498118400574
60.0	-1.04	41.0	-0.37	13	120	0.005437864859898885	0.48204785150578594	5076	-0.345246285200119
60.0	-0.47	40.0	0.11	15	140	0.0045199973242623466	0.4363471623101489	6174	-0.4362577497959137
60.0	-0.89	37.0	-0.11	18	160	0.00406736433506012	0.39492822416365586	7288	-0.5184848308563232
60.0	-1.67	60.0	-1.28	22	180	0.0037280268139309354	0.36172966362845393	8280	-0.5736866593360901
60.0	-0.68	43.0	-0.34	23	200	0.003048049211502075	0.3276985990546894	9416	-0.6789603233337402
60.0	-0.67	53.0	-0.76	24	220	0.002935626290061257	0.29758064058454187	10544	-0.7647213339805603
60.0	-1.45	60.0	-1.35	26	240	0.002603943149248759	0.271082591629757	11656	-0.8460702300071716
60.0	-1.53	60.0	-0.89	29	260	0.0024833504970257097	0.24886701787979348	12695	-0.9161492586135864
60.0	-1.57	42.0	-0.14	33	280	0.0023944624832698278	0.22900904754085155	13727	-1.0065044164657593
60.0	-0.69	60.0	-1.03	34	300	0.002176239490509033	0.2091323664815612	14884	-1.0867911577224731
60.0	-1.5	41.0	-0.32	37	320	0.0020851016044616697	0.1926417653135043	15958	-1.1562117338180542
7.0	0.14	60.0	-1.12	46	340	0.0002485029837664436	0.18249386592968864	16676	-1.2026464939117432
60.0	-1.5	54.0	-0.85	48	360	0.0018282128704918755	0.1685976117664455	17764	-1.2852743864059448
60.0	-0.54	60.0	-1.1	53	380	0.0017480454946819104	0.15670162091086076	18801	-1.3725136518478394
