Step	Validation return	Validation steps	Validation return std	Validation steps std	Q-value evaluation	Q-network loss	Value-network loss	Policy-network loss	Alpha loss	Log Pi
11000	nan	160.0	nan	0.0	nan	nan	nan	nan	nan	nan
12000	nan	160.0	nan	0.0	nan	nan	nan	nan	nan	nan
13000	nan	160.0	nan	0.0	nan	nan	nan	nan	nan	nan
14000	nan	160.0	nan	0.0	nan	nan	nan	nan	nan	nan
15000	nan	160.0	nan	0.0	nan	nan	nan	nan	nan	nan
16000	nan	160.0	nan	0.0	nan	nan	nan	nan	nan	nan
17000	nan	160.0	nan	0.0	nan	nan	nan	nan	nan	nan
18000	nan	160.0	nan	0.0	nan	nan	nan	nan	nan	nan
19000	nan	160.0	nan	0.0	nan	nan	nan	nan	nan	nan
20000	nan	160.0	nan	0.0	nan	nan	nan	nan	nan	nan
21000	nan	160.0	nan	0.0	nan	nan	nan	nan	nan	nan
22000	nan	160.0	nan	0.0	nan	nan	nan	nan	nan	nan
