Training steps	Validation return	Validation steps	Validation return std	Validation steps std	Q-value evaluation	Q-network loss	Policy-network loss	Alpha loss	Alpha
11000	-0.27140337157717376	60.0	0.0726067923770389	0.0	1.5381807088851929	0.010074561	-1.9757106	-3.34003	[0.3678612]
12000	-0.27418416560790265	60.0	0.031448122401156034	0.0	1.1376234292984009	0.004272458	-1.2096741	-6.7430882	[0.13529634]
13000	-0.3895735266776875	60.0	0.09252700458373936	0.0	0.06980537623167038	0.002208207	0.10935895	-10.014601	[0.04977318]
14000	-0.3584042137411174	60.0	0.05642186358403719	0.0	-1.1946486234664917	0.014799844	1.34564	-13.473788	[0.0183118]
15000	-0.3596519518974784	60.0	0.12434060820301945	0.0	-2.622407913208008	0.008151141	2.778234	-16.866467	[0.00673672]
16000	-0.3277010910456935	60.0	0.08014695687984191	0.0	-3.92695689201355	0.018918103	3.812841	-20.352955	[0.0024793]
17000	-0.2912406644351683	60.0	0.05905361779755929	0.0	-5.28878927230835	0.013930335	5.821554	-23.342848	[0.00091249]
18000	-0.31286019884789207	60.0	0.06851149491707265	0.0	-6.616306304931641	0.0047843447	6.9078035	-26.192354	[0.00038502]
19000	-0.29830432513770616	60.0	0.06037763044230055	0.0	-7.830838680267334	0.011358899	8.268831	-11.88152	[0.00020628]
20000	-0.29158065409910294	60.0	0.039288396099802406	0.0	-9.082141876220703	0.017303182	9.432568	-28.964169	[0.00010384]
21000	-0.2786202357459804	60.0	0.12657613906581666	0.0	-10.108573913574219	0.033753783	11.2147255	-31.10236	[3.6817666e-05]
22000	-0.3422294492917941	60.0	0.07947852165441682	0.0	-11.23727035522461	0.31472427	10.808479	-26.608027	[1.4639569e-05]
23000	-0.28822221410755244	60.0	0.10642370589854033	0.0	-12.2634916305542	0.025378138	12.758293	199.49228	[1.9934225e-05]
24000	-0.32090361477271906	60.0	0.0911952000621183	0.0	-13.4889497756958	0.025300125	14.311403	177.32875	[7.9125966e-05]
25000	-0.34980578506013293	60.0	0.10040718146187812	0.0	-14.473457336425781	0.012907228	14.492107	155.61412	[0.00023671]
26000	-0.3021825305953757	60.0	0.06885606792817714	0.0	-15.443580627441406	0.024601724	16.381685	137.62308	[0.00066405]
27000	-0.2946020221125705	60.0	0.01567816588282049	0.0	-16.446826934814453	0.06496087	17.57555	117.86412	[0.00182541]
28000	-0.24863285393133347	60.0	0.05161322175425012	0.0	-17.664825439453125	0.019799562	18.93871	100.11849	[0.0049834]
29000	-0.37025733522858484	60.0	0.14286864067761804	0.0	-19.356420516967773	0.06679873	19.156805	80.51623	[0.01356471]
30000	-0.34590353261048945	60.0	0.10148034093686933	0.0	-23.475269317626953	0.056027234	24.899185	61.471325	[0.0368905]
31000	-0.3131802966704214	60.0	0.10909590206038058	0.0	-31.490827560424805	0.068502255	33.25318	43.033638	[0.10031999]
32000	-0.321436676736902	60.0	0.06003701055483194	0.0	-51.32147216796875	0.29612455	58.215427	24.630417	[0.272672]
33000	-0.3219006478710439	60.0	0.06653137988698529	0.0	-105.76812744140625	2.508453	121.304825	5.63111	[0.7412038]
34000	-0.37743190909096996	60.0	0.07906490985679536	0.0	-248.8914031982422	10.738422	292.5679	-13.184887	[2.0147474]
35000	-0.2505991104383711	60.0	0.026411467370444894	0.0	-637.3253173828125	86.15349	753.96106	-32.059902	[5.4762483]
36000	-0.32498050256986843	60.0	0.0616031141081995	0.0	-1680.4822998046875	712.30066	1992.5632	-50.503918	[14.88575]
37000	-0.2618185916312926	60.0	0.04699322274991371	0.0	-4546.56787109375	3729.1577	5393.246	-68.80731	[40.461338]
38000	-0.32834677979655746	60.0	0.12167901405957768	0.0	-12298.8798828125	24480.74	14583.297	-86.66156	[109.96367]
39000	-0.36393375555555457	60.0	0.10539491220181238	0.0	-33212.38671875	228234.1	39542.215	-107.47307	[298.9547]
40000	-0.31146263772732474	60.0	0.07501082937294816	0.0	-90481.3359375	1109271.4	107619.72	-124.80812	[812.45953]
41000	-0.29482546139026977	60.0	0.08614543238453183	0.0	-246366.953125	5841415.5	292608.53	-143.84496	[2209.2102]
42000	-0.23978146321683638	60.0	0.046737486795213196	0.0	-665185.1875	76806990.0	790857.1	-162.1576	[6005.27]
43000	-0.33870727747023943	60.0	0.09095928119925295	0.0	-1809927.375	573629700.0	2152898.0	-182.23804	[16319.082]
44000	-0.3507525303723007	60.0	0.11463915196921982	0.0	-4918618.0	4169861600.0	5862009.0	-202.10211	[44371.543]
45000	-0.2695546076655654	60.0	0.06046277202258364	0.0	-13329518.0	82818360000.0	15879330.0	-217.4654	[120621.26]
46000	-0.2795184102649465	60.0	0.05819983263431274	0.0	-36403128.0	453691050000.0	43440656.0	-237.99673	[327890.4]
47000	-0.27954538934656104	60.0	0.062060496045540786	0.0	-99413840.0	3655619600000.0	118763620.0	-260.67657	[891162.56]
48000	-0.3529916261482887	60.0	0.08881489805618652	0.0	-269477152.0	90049890000000.0	322936060.0	-277.55652	[2422207.]
49000	-0.26094408189455354	60.0	0.02260691690217245	0.0	-739468544.0	708152200000000.0	886221630.0	-294.69305	[6583920.5]
50000	-0.3764973285286108	60.0	0.11735720738313431	0.0	-2004357120.0	1549501300000000.0	2388962300.0	-313.61194	[17893386.]
51000	-0.2810721441435485	60.0	0.08939010239154098	0.0	-5559418368.0	8078154000000000.0	6596301000.0	-336.299	[48636852.]
