Training steps	Validation return	Validation steps	Validation return std	Validation steps std	Q-value evaluation	Q-network loss	Policy-network loss	Alpha loss	Log Pi
11000	-0.2515005201913981	60.0	0.023422958081669703	0.0	0.2580564516187224	0.008717890896136319	-0.48146352220863986	-2.6853305925978175	-0.6856713997025224
12000	-0.289162356388493	60.0	0.09177579088532481	0.0	-0.697073704740654	0.0053959216426199535	0.5880903467664407	-5.368955115637226	-0.6849179702359104
13000	-0.2591620623062539	60.0	0.011290992458030894	0.0	-2.0541081300382826	0.006313939957413878	1.8755742357288168	-7.621154047819336	-0.5505987028617328
14000	-0.2709040241668378	60.0	0.058093376540743126	0.0	-3.403444396187046	0.006872816112798442	3.1737412741714315	-8.240314938072183	-0.11446724371339116
15000	-0.21927598766229775	52.2	0.048530336105642585	15.6	-4.582026579252466	0.007487459236207993	4.492543496301449	-5.886636988307716	0.7275833064866779
16000	-0.24917620955374828	60.0	0.021889354012246568	0.0	-5.664475315051567	0.01714961680282497	5.123447913777558	-3.645451259114668	1.2939439566271178
17000	-0.23684371446974498	57.4	0.046955524766252345	5.2	-6.61127105087909	0.009732914912600501	6.017982290008133	-1.4548857322360496	1.73214739502613
18000	-0.16559334009389517	42.8	0.06300656747117601	21.82109071517737	-7.5016124208258494	0.016653811356202215	6.766403842654839	1.3828324364287896	2.253500042240089
19000	-0.20191305372081736	44.0	0.04728399624099863	14.953260514014994	-8.321313492811504	0.12005700266056259	7.394760211464623	1.8838055067657908	2.3481356052606928
20000	-0.22791421107400187	60.0	0.021732152476781542	0.0	-9.102633169955201	0.023831599748183625	8.197862556110387	-0.19446127001477587	1.9635506260221158
21000	-0.19858443369399142	39.6	0.05747782931691156	18.380424369420854	-9.817279589699833	0.021240850737204844	8.513575661810151	-0.562784551798641	1.8946477471501098
22000	-0.21544497202243465	52.4	0.04654094694826117	11.62067123706716	-10.439230231102227	0.06351383807321075	8.919067202116441	-0.535187666635708	1.8967358217754142
23000	-0.22805883422286338	57.8	0.03325378799675234	4.4	-11.036532167210463	0.027675957671268403	9.375809470279897	-0.18423345111633616	1.964249579939013
24000	-0.21903374786427196	52.0	0.04830105658563838	16.0	-11.587918825784142	0.03505435864044975	10.574655847934483	-0.5026344612817062	1.9002396040264276
25000	0.022137258358006767	41.0	0.48999815577817013	24.380319932273242	-11.995001145514642	0.05087336192973135	10.129426074881327	1.6288823461506765	2.323717945206277
26000	-0.23272519327333954	53.0	0.04112061710490155	14.0	-12.422891094540596	0.03584203925733384	9.859314110530958	-1.8525858499666734	1.626971679351113
