Averaged Steps Traing	Averaged Return Training	Averaged Steps Validation	Averaged Return Validation	Cumulative Successes	Number of episodes	Sampling time (s)	Epsilon threshold	Gradient update	Updates target network	Average q-value evaluation
150.0	10.53	0.0	0.0	0	5	0.694858455657959	0.8610342735276567	618	127	0.0961766242980957
150.0	8.73	0.0	0.0	0	10	0.36930844783782957	0.8239181940330319	1363	127	0.09600496292114258
150.0	8.68	0.0	0.0	0	15	0.24846283594767252	0.7886122870956371	2108	128	0.15618513524532318
147.0	0.14	0.0	0.0	2	20	0.20439823865890502	0.7585310862038329	2773	128	0.15998511016368866
150.0	8.76	0.0	0.0	2	25	0.1547839832305908	0.7264141461455021	3518	129	0.21238398551940918
150.0	10.88	0.0	0.0	2	30	0.13615351517995197	0.6958635677370921	4263	129	0.21229274570941925
150.0	10.14	0.0	0.0	2	35	0.11522120748247419	0.6668029586194963	5008	130	0.26319870352745056
137.0	0.15	0.0	0.0	3	40	0.09652315974235534	0.6396271263743516	5740	130	0.25950631499290466
150.0	11.93	0.0	0.0	3	45	0.08900793923272027	0.6133092008660486	6485	131	0.30663153529167175
87.0	0.2	0.0	0.0	5	50	0.04179871559143066	0.592065445850823	7114	131	0.302994966506958
150.0	9.2	0.0	0.0	5	55	0.06822247938676314	0.5680671308733655	7859	132	0.34272682666778564
150.0	8.92	0.0	0.0	5	60	0.06696654160817464	0.545239227528372	8604	132	0.3446047902107239
150.0	11.24	0.0	0.0	5	65	0.07418199319105882	0.5235246541669557	9349	133	0.37951385974884033
150.0	9.57	0.0	0.0	5	70	0.05902571678161621	0.5028691130450972	10094	133	0.37739458680152893
150.0	9.24	0.0	0.0	5	75	0.05563727378845215	0.4832209545510009	10839	134	0.4102654457092285
150.0	11.09	0.0	0.0	5	80	0.04952555000782013	0.4645310480541628	11584	134	0.4052612781524658
150.0	11.32	0.0	0.0	5	85	0.04816791590522317	0.4467526590532035	12329	135	0.4365758001804352
150.0	8.85	42.0	8.35	6	90	0.04508053726620144	0.4312958317295781	13008	135	0.4327123165130615
150.0	10.04	0.0	0.0	6	95	0.04381919158132453	0.41513834335561195	13753	136	0.4604865610599518
150.0	10.59	0.0	0.0	6	100	0.038490965366363525	0.39976886498826714	14498	136	0.46142178773880005
150.0	12.36	0.0	0.0	6	105	0.037286290668305896	0.3851489649260216	15243	137	0.48197269439697266
150.0	10.42	0.0	0.0	6	110	0.034906142408197574	0.3712420858035538	15988	137	0.4786430299282074
150.0	10.35	0.0	0.0	6	115	0.035180212103802226	0.3580134531792878	16733	138	0.5065978765487671
150.0	10.71	0.0	0.0	8	120	0.03299317359924316	0.3472529069761613	17367	138	0.5118471384048462
150.0	10.56	0.0	0.0	8	125	0.03321958160400391	0.3351942404090625	18112	139	0.5222726464271545
150.0	10.81	0.0	0.0	8	130	0.03222112655639649	0.3237236819501951	18857	139	0.5247097015380859
150.0	9.76	0.0	0.0	8	135	0.03111707192880136	0.31281254922866486	19602	140	0.544722318649292
150.0	10.28	0.0	0.0	8	140	0.029989254474639893	0.30243355872931266	20347	140	0.5428212285041809
150.0	8.74	0.0	0.0	8	145	0.029345870840138403	0.29256075756971567	21092	141	0.554841935634613
150.0	10.96	0.0	0.0	9	150	0.027646926244099933	0.2835973530238912	21802	141	0.5545976161956787
150.0	11.79	0.0	0.0	10	155	0.023090528672741306	0.2747946275078106	22534	142	0.5718945264816284
150.0	11.67	0.0	0.0	10	160	0.024664536118507385	0.2662697929300713	23279	142	0.5681013464927673
150.0	9.97	0.0	0.0	10	165	0.02372841979518081	0.2581607194407246	24024	143	0.5853064060211182
150.0	11.08	0.0	0.0	11	170	0.02420524288626278	0.2508890896042649	24725	143	0.5810282826423645
150.0	8.9	0.0	0.0	11	175	0.02301487377711705	0.2435301418677016	25470	143	0.5799068808555603
150.0	9.07	0.0	0.0	11	180	0.02213235298792521	0.23653009424731963	26215	144	0.5985953211784363
150.0	9.02	0.0	0.0	11	185	0.02225814510036159	0.22987144297790607	26960	144	0.5890937447547913
150.0	12.19	0.0	0.0	13	190	0.021071851880926834	0.22416504984298258	27629	145	0.6070699095726013
150.0	9.12	0.0	0.0	13	195	0.020571779593443258	0.21810944890524278	28374	145	0.6021272540092468
150.0	8.65	0.0	0.0	13	200	0.020530399084091187	0.21234918311023057	29119	146	0.6144074201583862
150.0	9.43	0.0	0.0	13	205	0.020608019247287657	0.20686984879307	29864	146	0.6135187149047852
150.0	9.43	0.0	0.0	13	210	0.01812584854307629	0.20165774476391027	30609	147	0.6227741837501526
