Averaged Steps Traning	Averaged Return Training	Averaged Steps Validation	Averaged Return Validation	Cumulative Successes	Number of episodes	Sampling time (s)	Epsilon threshold	Gradient update	Updates target network	Average q-value evaluation
60.0	-12.6	82.0	-27.93	6	20	0.04295111894607544	0.8890320026017279	0	1020	0.18000809848308563
60.0	-20.03	81.0	-21.29	12	40	0.02364351749420166	0.8788683605681962	0	1975	0.18000809848308563
35.0	-0.54	100.0	-38.78	15	60	0.008004442850748698	0.867569855672266	0	3053	0.18000809848308563
60.0	-27.01	84.0	-40.02	21	80	0.01078350841999054	0.8585349040761389	0	3922	0.18000809848308563
25.0	-0.45	48.0	-16.59	28	100	0.0036016297340393066	0.8495598185973798	0	4795	0.18000809848308563
60.0	-22.89	28.0	-6.02	32	120	0.007257932424545288	0.8397657239227914	0	5761	0.18000809848308563
60.0	-30.59	100.0	-49.62	36	140	0.007733769076211112	0.8286400322093195	606	6270	-0.27319803833961487
60.0	-29.38	83.0	-21.96	44	160	0.0073995441198349	0.820352998559761	1442	6270	-0.26276934146881104
60.0	-32.99	82.0	-38.86	52	180	0.006460225582122803	0.8115542033280707	2341	6270	-0.26219236850738525
4.0	-0.09	84.0	-45.8	59	200	0.0004229247570037842	0.8028370847547036	3242	6270	-0.2594001293182373
60.0	-22.76	81.0	-26.77	70	220	0.00490069714459506	0.7962131994226687	3929	6270	-0.26778775453567505
60.0	-26.02	100.0	-27.96	76	240	0.0045053631067276	0.7867685868651392	4928	6270	-0.24552021920681
15.0	-0.15	100.0	-31.85	82	260	0.0012346570308391864	0.777861912435359	5881	6270	-0.2500886619091034
60.0	-20.69	100.0	-48.68	86	280	0.004236965520041329	0.7686316009896512	6882	6270	-0.2519141435623169
60.0	-11.51	100.0	-37.39	93	300	0.0037336174647013345	0.7596513900205604	7868	6271	-0.6334118843078613
60.0	-16.39	83.0	-23.44	99	320	0.003915917873382568	0.7508534799919155	8846	6271	-0.6295222640037537
60.0	-22.37	100.0	-35.86	107	340	0.00324936824686387	0.7426146954075091	9772	6271	-0.6349704265594482
