Step	Validation total_reward	Q network loss	Value network loss	Policy Loss	Alpha Loss	Log Pi
11000	-0.38761190046851424	0.052863125	0.003128479	-0.75750166	-21.549341	-0.2773707
12000	-1.7247831887791174	0.005114797	0.0061363727	-0.7588724	20.358398	3.723772
13000	-0.8008256287121935	0.0037038801	0.0015531058	-0.54949474	-6.062059	1.3278807
14000	-1.5112878222187238	0.005605529	0.0013651272	-0.3937642	-4.639622	1.4734361
15000	-0.8044371862942397	0.005227479	0.0013194873	-0.27298406	-9.715236	0.939263
16000	-1.2950375159858043	0.0026326906	0.0014024356	-0.18269676	1.4381237	2.153193
17000	-0.549476267040752	0.009011498	0.003348312	-0.083605915	7.6467233	2.8446777
18000	-0.6431299090927166	0.0057417583	0.00029455195	0.045070156	7.5261326	2.7745955
19000	-1.2221587101162514	0.0074778614	0.00037540344	0.17733386	-0.70260453	1.9233483
20000	-0.7407513736579683	0.0009833409	0.00039977822	0.27440113	5.7939615	2.630084
21000	-0.35893038403532807	0.007456024	0.0026475003	0.3777966	7.958955	2.867005
22000	-4.536712736583917	nan	nan	nan	nan	nan
23000	-1.9400786712479041	nan	nan	nan	nan	nan
24000	-1.1635707460715625	nan	nan	nan	nan	nan
25000	-2.344778107654725	nan	nan	nan	nan	nan
26000	-1.1140052780610528	nan	nan	nan	nan	nan
27000	-1.307150573994205	nan	nan	nan	nan	nan
28000	-1.6039790317506586	nan	nan	nan	nan	nan
29000	-2.6823636114768363	nan	nan	nan	nan	nan
30000	-4.035078212045868	nan	nan	nan	nan	nan
