Training steps	Validation return	Validation steps	Validation return std	Validation steps std	Q-value evaluation	Q-network loss	Policy-network loss	Alpha loss	Alpha
21000	-0.21361101141859384	60.0	0.11016792089315465	0.0	3.5817902088165283	0.47030687	-4.5612783	-1.0082788	[0.7406781]
22000	-0.23525867668535452	60.0	0.09788157666362825	0.0	6.206364631652832	0.043691855	-6.895358	-2.0122123	[0.5486468]
23000	-0.21822847193755196	60.0	0.08697943766516156	0.0	7.667825222015381	0.054095693	-8.106207	-3.0348155	[0.40643018]
24000	-0.193909763625065	60.0	0.08704300575632884	0.0	8.224822044372559	0.056490116	-8.446303	-4.003107	[0.3010979]
25000	-0.2369216433318319	60.0	0.1001599014670369	0.0	8.418275833129883	0.047376156	-8.60208	-5.0611973	[0.22305515]
26000	-0.16081144864468383	60.0	0.07525893671884538	0.0	7.970928192138672	0.98775077	-7.9892826	-6.054908	[0.165278]
27000	-0.2185571387502369	60.0	0.09564067953826144	0.0	7.285444736480713	0.05204864	-7.177422	-7.0385127	[0.12251534]
28000	-0.19563578382625565	60.0	0.11896186469530826	0.0	6.437971591949463	1.0306275	-6.2884703	-7.775284	[0.09098126]
29000	-0.15515318657118643	48.8	0.19337309874849692	22.400000000000002	5.506584167480469	0.08172993	-5.5066032	-9.086089	[0.06776162]
30000	-0.2513190918423274	60.0	0.060187970119310916	0.0	4.511584281921387	0.06874697	-4.242499	-9.247936	[0.05063656]
31000	-0.22237975447805133	60.0	0.11188366866287988	0.0	3.5366456508636475	0.071189135	-3.2283392	-9.315644	[0.03789773]
32000	-0.22651816383177364	60.0	0.08954718249440784	0.0	2.502216100692749	0.20421614	-2.251037	-9.941327	[0.02837092]
33000	-0.18029777619255175	52.4	0.0838961107792027	15.200000000000001	1.6092147827148438	0.09774755	-1.2689223	-10.174009	[0.02132147]
34000	0.027094639807950426	48.2	0.4882502796765318	23.599999999999998	0.7550279498100281	0.15478756	0.33108935	-9.614484	[0.01621324]
35000	-0.13768709099717005	60.0	0.05038234547455499	0.0	0.0025507451500743628	0.2146041	0.63751256	-7.5883822	[0.01252439]
36000	-0.21543826519238113	60.0	0.026506129647734716	0.0	-0.7407311201095581	0.082178906	1.3707823	-6.644164	[0.00981161]
37000	-0.05804949977802615	48.8	0.1441830001682725	22.400000000000002	-1.37590491771698	0.078404665	1.9661779	-3.600723	[0.00783135]
38000	-0.11643220494705794	50.0	0.09449781804777102	20.0	-2.019718885421753	0.086720765	2.1973755	-5.995411	[0.00629085]
39000	-0.09402962200195016	42.6	0.16472198035309116	22.729716232280595	-2.6421127319335938	0.052052118	3.1782596	-4.2193146	[0.00511437]
40000	-0.10710270162526528	40.8	0.12234480323662279	23.81931988953505	-3.249786853790283	0.049822852	3.6263793	-4.682923	[0.00412457]
41000	-0.14862370872453828	60.0	0.056788333424708445	0.0	-3.844487428665161	0.045492344	4.1658545	-2.8970077	[0.00349836]
42000	-0.16157080072370775	56.4	0.044404413145760935	4.586937976471886	-4.316642761230469	0.06599622	4.8218412	1.1437273	[0.00370118]
43000	-0.16734770235456323	60.0	0.02401736428994488	0.0	-4.894156455993652	0.0743306	5.2978435	0.8730657	[0.00373326]
44000	-0.19470184260245865	60.0	0.052347220816243135	0.0	-5.32778263092041	0.23531133	5.7966676	-0.017590433	[0.0035916]
45000	-0.1590124935257056	51.4	0.06658691673682283	14.38888459888396	-5.7874860763549805	0.098580986	6.106807	-0.6604297	[0.00407775]
46000	0.0744366487229469	38.6	0.46608700302232575	26.43936459145719	-6.349935054779053	0.1313971	7.2514963	-1.6824517	[0.00445501]
47000	-0.13181007154289642	52.8	0.06914003050909509	14.4	-6.740790843963623	0.17996609	7.1806164	0.4026441	[0.00437992]
48000	-0.12252589523949657	43.0	0.112291420105443	22.054478003344354	-7.19893741607666	1.8329753	7.804261	-0.056959033	[0.00471129]
49000	-0.1726569924136056	55.2	0.0236341580222961	6.013318551349164	-7.257073879241943	0.16758911	7.699402	-1.4134765	[0.00461142]
50000	-0.025513165059638333	48.4	0.25449126046931764	23.2	-7.637986183166504	0.20939785	8.393002	2.0593913	[0.00483]
51000	-0.16402558387003963	41.2	0.0258657219398042	15.367498169838838	-7.878833770751953	0.17744079	8.235392	1.6605443	[0.00545029]
52000	-0.12969067500870288	45.6	0.08812822470210982	20.025983121934363	-8.25125503540039	0.2738048	8.969328	1.3173256	[0.00556139]
53000	-0.15002183157605287	54.0	0.0399997130391992	11.50651989091402	-8.481314659118652	0.28457165	9.125365	4.0746775	[0.00562102]
54000	-0.16773763084912682	52.4	0.012087572986516438	15.200000000000001	-8.884864807128906	0.32325357	9.364649	-1.4400349	[0.00543631]
55000	-0.1578158581518406	48.2	0.04715605244811337	15.651198037211081	-9.335997581481934	0.34580302	10.049351	1.3631849	[0.00542638]
56000	-0.07971228608435367	32.4	0.10131029625552249	23.22584767021432	-9.404117584228516	0.25359827	9.563964	-0.92841744	[0.0052326]
57000	-0.16552515700169113	60.0	0.024219332174813233	0.0	-9.852107048034668	0.1693329	9.909939	-3.3806558	[0.00537798]
58000	-0.1440617286268391	60.0	0.0369533368397969	0.0	-9.99649429321289	0.21867664	10.06694	-0.5235218	[0.00526757]
59000	-0.12480835918934778	50.8	0.030422247793207083	18.400000000000002	-10.26954174041748	0.21603364	11.08298	-0.30820182	[0.00582415]
60000	-0.11437839815032383	51.8	0.06694891914671657	10.047885349664377	-10.5684175491333	0.20981906	11.186707	1.8853196	[0.00565849]
61000	-0.1331730456729202	50.8	0.04655543307917511	11.338430226446693	-10.737409591674805	0.14701658	11.093985	-1.0070733	[0.00600531]
62000	-0.13076423739090923	52.0	0.007145902545603755	9.879271228182775	-10.895303726196289	2.4162889	11.463131	2.0192163	[0.00601717]
63000	-0.0960094258558452	46.4	0.10316538121276077	20.538743875904387	-11.050360679626465	0.3468501	12.052469	2.6935763	[0.00672768]
64000	-0.15242061476934668	51.0	0.06696698964131167	18.0	-11.37632942199707	0.3926234	11.431474	0.28329307	[0.00659503]
65000	-0.13853497038642262	52.2	0.04829144703532113	15.6	-11.528704643249512	3.9034448	11.488498	0.6660056	[0.0066345]
