Averaged Steps Traing	Averaged Return Training	Averaged Steps Validation	Averaged Return Validation	Cumulative Successes	Number of episodes	Sampling time (s)	Epsilon threshold	Gradient update	Updates target network	Average q-value evaluation
150.0	9.29	0.0	0.0	1	5	0.9120872497558594	0.8907867961527873	564	127	0.09880689531564713
150.0	12.46	0.0	0.0	1	10	0.39614574909210204	0.8809634848041731	1309	127	0.09932928532361984
150.0	10.99	0.0	0.0	1	15	0.27542068163553873	0.871262200588942	2054	128	0.16367121040821075
150.0	8.69	0.0	0.0	2	20	0.20906522274017333	0.862557865158479	2730	128	0.16333459317684174
150.0	10.16	0.0	0.0	3	25	0.1559095287322998	0.8533362894716449	3455	129	0.2244366705417633
150.0	10.98	0.0	0.0	3	30	0.11611322561899821	0.843978195788629	4200	129	0.22126305103302002
150.0	12.89	0.0	0.0	4	35	0.09581069265093123	0.8361091389369293	4833	130	0.274790495634079
148.0	0.16	0.0	0.0	5	40	0.09065774083137512	0.8269892769267967	5576	130	0.27485033869743347
150.0	11.01	0.0	0.0	6	45	0.08778752221001519	0.8189523342385331	6238	131	0.3258514106273651
150.0	12.39	0.0	0.0	6	50	0.07823272705078126	0.8100213649072324	6983	131	0.3262043595314026
150.0	11.11	0.0	0.0	6	55	0.07021807757290927	0.8012013378587483	7728	132	0.37181732058525085
150.0	11.46	0.0	0.0	6	60	0.06332919200261435	0.7924908749459095	8473	132	0.37125739455223083
8.0	1.33	0.0	0.0	7	65	0.0035933494567871095	0.7855090683102208	9076	133	0.4063919186592102
150.0	9.35	0.0	0.0	8	70	0.056777576037815636	0.7782923531483944	9706	133	0.39973798394203186
150.0	12.05	0.0	0.0	8	75	0.05189894676208496	0.7698664702141105	10451	133	0.40029093623161316
150.0	9.25	0.0	0.0	8	80	0.04768275916576385	0.7615452552786514	11196	134	0.4408321976661682
150.0	10.35	0.0	0.0	8	85	0.04020858091466567	0.7533274081352538	11941	134	0.4349682033061981
150.0	10.76	0.0	0.0	8	90	0.040132072236802846	0.7452116447285823	12686	135	0.47203317284584045
150.0	9.31	0.0	0.0	8	95	0.037037081467477896	0.737196696954093	13431	135	0.4705246388912201
150.0	10.78	0.0	0.0	8	100	0.038150713443756104	0.7292813124598895	14176	136	0.49620363116264343
150.0	11.29	0.0	0.0	8	105	0.03544192087082636	0.7214642544510407	14921	136	0.4996609389781952
150.0	10.9	0.0	0.0	9	110	0.03618931120092218	0.7147680615618955	15566	137	0.5209550261497498
150.0	10.93	0.0	0.0	9	115	0.03574502364448879	0.7071312900511839	16311	137	0.5256463289260864
150.0	12.03	0.0	0.0	9	120	0.03496405879656474	0.699589384039761	17056	138	0.5494856238365173
150.0	9.32	0.0	0.0	9	125	0.033079605102539066	0.6921411650894683	17801	138	0.5519850850105286
150.0	9.09	0.0	0.0	9	130	0.030283722510704627	0.6847854694009414	18546	139	0.573375940322876
150.0	11.15	0.0	0.0	9	135	0.029147020975748696	0.6775211476317637	19291	139	0.5734350085258484
150.0	8.86	0.0	0.0	9	140	0.024882899011884417	0.6703470647168794	20036	140	0.5864127278327942
150.0	10.23	0.0	0.0	10	145	0.025898877505598397	0.6637128896629367	20733	140	0.588560163974762
125.0	0.16	234.0	28.33	11	150	0.020187201499938964	0.6569423466555038	21453	141	0.6070376634597778
150.0	11.86	0.0	0.0	12	155	0.02754782861278903	0.6512628447745599	22063	141	0.5995374917984009
150.0	10.31	0.0	0.0	12	160	0.02534697502851486	0.6444149477364597	22808	142	0.6171175837516785
150.0	11.25	0.0	0.0	12	165	0.026018037218036073	0.6376521166415643	23553	142	0.6116334199905396
150.0	10.53	60.0	9.72	13	170	0.024483785909764907	0.631168020689411	24276	143	0.6305615305900574
150.0	12.23	0.0	0.0	13	175	0.02284888539995466	0.624569745565137	25021	143	0.6313044428825378
150.0	9.81	0.0	0.0	13	180	0.026783952448103162	0.618053435530853	25766	144	0.6404847502708435
150.0	8.62	0.0	0.0	13	185	0.0225755601315885	0.6116180723998587	26511	144	0.6436595916748047
150.0	10.89	20.0	6.43	13	190	0.022241109295895223	0.6052626506335718	27256	145	0.6476746797561646
150.0	9.03	0.0	0.0	13	195	0.021740472011077098	0.5989861771844113	28001	145	0.6504136919975281
150.0	11.0	94.0	16.54	13	200	0.019138168096542358	0.592787671340631	28746	146	0.6555339694023132
113.0	0.17	0.0	0.0	14	205	0.012934071843217059	0.5869663679277565	29454	146	0.6592280268669128
150.0	11.63	0.0	0.0	14	210	0.016828697068350655	0.5809171745525881	30199	147	0.6676556468009949
150.0	10.77	0.0	0.0	14	215	0.017990875244140624	0.5749431254643769	30944	147	0.6623134016990662
150.0	11.04	0.0	0.0	14	220	0.01756533926183527	0.5690432872057989	31689	148	0.6763137578964233
150.0	11.21	0.0	0.0	15	225	0.017798745897081164	0.5643607495696311	32286	148	0.6755062937736511
150.0	10.29	0.0	0.0	15	230	0.01752145186714504	0.5585923676956663	33031	149	0.6796342134475708
150.0	9.31	0.0	0.0	16	235	0.017760781024364715	0.5538931090357886	33644	149	0.6786567568778992
59.0	0.25	0.0	0.0	17	240	0.006807538866996765	0.5489351271469233	34298	149	0.6763871312141418
150.0	10.09	170.0	17.71	18	245	0.015532633723044881	0.5443200166365724	34913	150	0.6864944100379944
44.0	0.31	0.0	0.0	20	250	0.0050008916854858395	0.5405225904287304	35423	150	0.6843990683555603
