Training steps	Validation return	Validation steps	Validation return std	Validation steps std	Q-value evaluation	Q-network loss	Policy-network loss	Alpha loss	Log Pi
16000	-0.24649211979746105	60.0	0.022772943586917126	0.0	0.999999640894449	0.11801594989073803	-1.1901622432420254	-2.551675655577241	-0.5232889080334262
17000	-0.26172935662215296	60.0	0.04122242729365253	0.0	-0.9999992246151772	0.13455898938317915	0.93695864324631	-4.977229889342047	-0.47242831506157335
18000	-0.29586862589208124	60.0	0.08558340820286366	0.0	-0.9999998664507563	0.1749911333919493	0.9765270468247038	-7.471176989878412	-0.4786774781330752
19000	-0.260830785838678	60.0	0.0843701319093445	0.0	-0.9999999471734308	0.1822805485310865	0.9912329264843425	-9.98132879618358	-0.48621850354551815
20000	-0.35175571995564153	60.0	0.07972123475575409	0.0	-0.9999999739993184	0.19314174438044318	0.9970359232620005	-12.271402172896844	-0.44697295176348106
21000	-0.3594705856073812	60.0	0.059457779247827754	0.0	-0.9999999858823405	0.18308921079652019	0.9988239357514281	-14.927157380820631	-0.481865214488445
22000	-0.2659444664504074	60.0	0.05148706449509339	0.0	-0.9999999919331121	0.21916569879622905	0.9995804707174989	-17.305846951448466	-0.46719653967831587
23000	-0.37007488158508933	60.0	0.11010894947972519	0.0	-0.9999999952635487	0.211887649315169	0.9998440779351965	-19.81366491874487	-0.4721599413708021
24000	-0.41188719412890784	60.0	0.09776852727475023	0.0	-0.9999999971612289	0.19832117070374006	0.9999379209461252	-22.636928042519855	-0.5110702568618912
25000	-0.2644938137415985	60.0	0.03621452800450349	0.0	-0.9999999982742868	0.21500997211227785	0.9999754391062075	-25.529111745853864	-0.5492855436999575
26000	-0.36959873593948256	60.0	0.09457207884452136	0.0	-0.9999999989334967	0.2146278309973217	0.9999912693045205	-27.880688993744016	-0.5311595024389177
27000	-0.2810054248239924	60.0	0.0806673014960005	0.0	-0.9999999993267137	0.17002070321271318	0.9999973196746409	-29.35952438590222	-0.44347048042714265
28000	-0.01671017505231549	48.2	0.5117570841092965	23.599999999999998	-0.9999999995627262	0.1989574456568619	0.9999989102339788	-32.40649433081987	-0.4899093765240607
29000	-0.35481519454327676	60.0	0.06662675180115171	0.0	-0.999999999705604	0.19840215860404375	0.9999995653903062	-35.46937565274667	-0.5308460091871285
30000	-0.030604924334506945	48.2	0.5185617497606944	23.599999999999998	-0.999999999792472	0.32910104933000683	0.9999998265183785	-38.674446098026905	-0.5757464754305354
31000	-0.2764925195876544	60.0	0.06375166905352504	0.0	-0.9999999998456307	0.214703290510392	0.9999999501439101	-39.214598007159616	-0.4487154635666488
32000	-0.2589367231509457	60.0	0.042881692562894175	0.0	-0.9999999998781522	0.2083966766627904	0.9999999835208718	-40.85907958445496	-0.40143484800796037
33000	-0.34346274617351547	60.0	0.08624216722124593	0.0	-0.9999999998984063	0.18811234162779633	0.9999999927888842	-44.597987900639744	-0.475726533909418
34000	-0.35465882382740965	60.0	0.08996902487533404	0.0	-0.9999999999112745	0.19130113728718887	0.999999997224345	-47.422472667420664	-0.4940641142901011
35000	-0.30130304392155444	60.0	0.09221326748576181	0.0	-0.9999999999196624	0.18681613459233748	0.9999999990178152	-49.38479192131505	-0.46749870599894
