Averaged Steps	Averaged Rewards	Cumulative Successes	Policy update	Number of episodes	Sampling time (s)	Epsilon threshold	Gradient update	Updates target network	Average q-value evaluation
795.0	121.13	16	0	25	187.15601921081543	0.5107336952260736	32	0	0.2648869454860687
795.0	121.13	16	0	25	187.15601921081543	0.5107336952260736	63	0	0.2910557687282562
795.0	121.13	16	0	25	187.15601921081543	0.5107336952260736	94	0	0.2835022807121277
795.0	121.13	16	0	25	187.15601921081543	0.5107336952260736	125	0	0.2905488908290863
795.0	121.13	16	0	25	187.15601921081543	0.5107336952260736	156	0	0.27179816365242004
795.0	121.13	16	0	25	187.15601921081543	0.5107336952260736	188	0	0.28123512864112854
795.0	121.13	16	0	25	187.15601921081543	0.5107336952260736	219	0	0.2684328556060791
795.0	121.13	16	0	25	187.15601921081543	0.5107336952260736	250	0	0.27528098225593567
795.0	121.13	16	0	25	187.15601921081543	0.5107336952260736	281	0	0.28531762957572937
795.0	121.13	16	0	25	187.15601921081543	0.5107336952260736	312	0	0.30362313985824585
795.0	121.13	16	0	25	187.15601921081543	0.5107336952260736	344	0	0.2804255783557892
795.0	121.13	16	0	25	187.15601921081543	0.5107336952260736	375	0	0.2758810818195343
795.0	121.13	16	0	25	187.15601921081543	0.5107336952260736	406	0	0.2841603457927704
795.0	121.13	16	0	25	187.15601921081543	0.5107336952260736	437	0	0.26692864298820496
795.0	121.13	16	0	25	187.15601921081543	0.5107336952260736	468	0	0.27678290009498596
795.0	121.13	16	0	25	187.15601921081543	0.5107336952260736	500	0	0.27287623286247253
795.0	121.13	16	0	25	187.15601921081543	0.5107336952260736	531	0	0.28078940510749817
795.0	121.13	16	0	25	187.15601921081543	0.5107336952260736	562	0	0.2903836667537689
795.0	121.13	16	0	25	187.15601921081543	0.5107336952260736	593	0	0.26831236481666565
795.0	121.13	16	0	25	187.15601921081543	0.5107336952260736	624	0	0.30315589904785156
795.0	121.13	16	0	25	187.15601921081543	0.5107336952260736	656	0	0.27816322445869446
795.0	121.13	16	0	25	187.15601921081543	0.5107336952260736	687	0	0.2873062193393707
795.0	121.13	16	0	25	187.15601921081543	0.5107336952260736	718	0	0.2642214000225067
795.0	121.13	16	0	25	187.15601921081543	0.5107336952260736	749	0	0.2966814339160919
795.0	121.13	16	0	25	187.15601921081543	0.5107336952260736	780	0	0.27840957045555115
795.0	121.13	16	0	25	187.15601921081543	0.5107336952260736	812	0	0.26789310574531555
795.0	121.13	16	0	25	187.15601921081543	0.5107336952260736	843	0	0.2687215805053711
795.0	121.13	16	0	25	187.15601921081543	0.5107336952260736	874	0	0.279889315366745
795.0	121.13	16	0	25	187.15601921081543	0.5107336952260736	905	0	0.290971964597702
795.0	121.13	16	0	25	187.15601921081543	0.5107336952260736	936	0	0.2639753520488739
795.0	121.13	16	0	25	187.15601921081543	0.5107336952260736	968	0	0.2812718451023102
795.0	121.13	16	0	25	187.15601921081543	0.5107336952260736	999	0	0.28763195872306824
795.0	121.13	16	0	25	187.15601921081543	0.5107336952260736	1030	0	0.2958512604236603
795.0	121.13	16	0	25	187.15601921081543	0.5107336952260736	1061	0	0.2739146053791046
795.0	121.13	16	0	25	187.15601921081543	0.5107336952260736	1092	0	0.29475530982017517
795.0	121.13	16	0	25	187.15601921081543	0.5107336952260736	1124	0	0.2901687026023865
795.0	121.13	16	0	25	187.15601921081543	0.5107336952260736	1155	0	0.2866148054599762
795.0	121.13	16	0	25	187.15601921081543	0.5107336952260736	1186	0	0.27878040075302124
795.0	121.13	16	0	25	187.15601921081543	0.5107336952260736	1217	0	0.26889896392822266
795.0	121.13	16	0	25	187.15601921081543	0.5107336952260736	1248	0	0.29088422656059265
1082.0	186.52	22	1	18	246.77558159828186	0.310870681352718	1280	0	0.21325384080410004
1082.0	186.52	22	1	18	246.77558159828186	0.310870681352718	1311	0	0.21328914165496826
1082.0	186.52	22	1	18	246.77558159828186	0.310870681352718	1342	0	0.211199551820755
1082.0	186.52	22	1	18	246.77558159828186	0.310870681352718	1373	0	0.21032193303108215
1082.0	186.52	22	1	18	246.77558159828186	0.310870681352718	1404	0	0.2030559629201889
1082.0	186.52	22	1	18	246.77558159828186	0.310870681352718	1436	0	0.21888485550880432
1082.0	186.52	22	1	18	246.77558159828186	0.310870681352718	1467	0	0.20990000665187836
1082.0	186.52	22	1	18	246.77558159828186	0.310870681352718	1498	0	0.20347657799720764
1082.0	186.52	22	1	18	246.77558159828186	0.310870681352718	1529	1	0.40484243631362915
1082.0	186.52	22	1	18	246.77558159828186	0.310870681352718	1560	1	0.3930976092815399
1082.0	186.52	22	1	18	246.77558159828186	0.310870681352718	1592	1	0.4047060012817383
1082.0	186.52	22	1	18	246.77558159828186	0.310870681352718	1623	1	0.37961623072624207
1082.0	186.52	22	1	18	246.77558159828186	0.310870681352718	1654	1	0.39058324694633484
1082.0	186.52	22	1	18	246.77558159828186	0.310870681352718	1685	1	0.40549236536026
1082.0	186.52	22	1	18	246.77558159828186	0.310870681352718	1716	1	0.3967096507549286
1082.0	186.52	22	1	18	246.77558159828186	0.310870681352718	1748	1	0.4128420948982239
1082.0	186.52	22	1	18	246.77558159828186	0.310870681352718	1779	1	0.4090941548347473
1082.0	186.52	22	1	18	246.77558159828186	0.310870681352718	1810	1	0.39238816499710083
1082.0	186.52	22	1	18	246.77558159828186	0.310870681352718	1841	1	0.40714484453201294
1082.0	186.52	22	1	18	246.77558159828186	0.310870681352718	1872	1	0.4120979905128479
1082.0	186.52	22	1	18	246.77558159828186	0.310870681352718	1904	1	0.40921661257743835
