Step	Validation total_reward	Q network loss	Value network loss	Policy Loss	Alpha Loss	Log Pi
11000	-1.5653366630438783	0.07636396	4.2757883	-4.127696	-0.4342089	-2.3454792
12000	-1.713435218982555	0.6504396	1.6705023	-8.932039	-0.81631416	-2.087853
13000	-0.8278715064303015	0.09721182	1.7596093	-14.347216	-1.2353148	-2.1253345
14000	-1.975674753257808	0.05478181	1.3957433	-19.818329	-1.6957912	-2.2461777
15000	-1.0961143394815307	0.025284369	1.5200429	-24.705515	-2.2597	-2.5253026
16000	-0.6678679797916783	2.3025355	0.6968714	-27.54449	-2.339924	-1.9045713
17000	-1.9903871414634495	0.071099035	1.0367022	-31.338638	-3.0320654	-2.336894
18000	-1.4493199393657084	0.011760172	0.61299354	-33.949394	-3.4546375	-2.3234613
19000	-0.5466847156632448	0.011713421	0.7148136	-36.203682	-3.9846003	-2.432375
20000	-0.22914652449905734	0.0046320194	0.68971264	-38.18815	-4.6424093	-2.6479244
21000	-1.1535166218054396	0.34747458	0.37811482	-39.323868	-4.482129	-2.0797963
22000	-1.844537600752978	0.0953054	0.6084838	-40.34501	-5.43762	-2.5373197
23000	-0.6249266196919359	0.2031149	0.16527526	-40.938034	-5.345864	-2.11742
24000	-1.1146674902214246	0.0025582085	0.120173834	-41.401867	-5.572455	-1.9857916
25000	-1.041677162708731	0.00574582	0.16858593	-41.567673	-6.250584	-2.172429
26000	-0.5271200846678638	0.043877438	0.09535041	-41.496502	-6.9567776	-2.3532557
27000	-1.1576672294476333	0.0057257027	0.0850166	-41.18042	-6.6211905	-1.8997567
28000	-1.1637933619147174	0.020246075	0.06054132	-40.81334	-6.828459	-1.7983514
29000	-0.5990744530292162	0.008727474	0.055574212	-40.40157	-7.65331	-2.0330136
30000	-0.7243126874123544	0.012338841	0.043083668	-39.681393	-8.411087	-2.2110379
