Step	Validation return	Validation steps	Validation return std	Validation steps std	Q-value evaluation	Q-network loss	Value-network loss	Policy-network loss	Alpha loss	Log Pi
11000	-0.08396532963437123	1.0	0.5634058268171902	0.0	-0.699012820729246	0.05538857301867549	0.0609430410719106	0.4411128517294648	-2.765733309661422	0.23184192265932735
12000	-0.07917969751513963	1.0	0.5430204616041323	0.0	-0.638334794292299	0.04944689402052788	0.008027277065082683	0.3783712901141579	-5.495781697402485	0.24951444578464999
13000	-0.5509428509676308	1.0	0.1885075891856547	0.0	-0.6055686279790352	0.033392390707328475	0.0019082263632940876	0.4064654864740854	-7.841706408937275	0.379492714651954
14000	-0.4701103418241808	1.0	0.14612191466131433	0.0	-0.6092290160087015	0.01803796746677681	0.0010427602304243443	0.3966806079891221	-10.155684685862713	0.44402008751550676
15000	-0.24103488661022432	1.0	0.6487473465971458	0.0	-0.6444634690809371	0.01935604353601017	0.0017628759315780431	0.41097077792377035	-12.322635231949294	0.503109067993669
16000	-0.5520928628121753	1.0	0.13923369707486682	0.0	-0.6263449486222253	0.02578710043538164	0.002004774730320849	0.4801776288134786	-12.482178847441588	0.8669296665016439
17000	-0.46148510757993166	1.0	0.15173143539600942	0.0	-0.6493693756736305	0.01709195038909396	0.0019834266967983867	0.40802177492813074	-12.369056453385543	1.1581632522830791
18000	-0.3569267268205979	1.0	0.6810084449888234	0.0	-0.6338578742575756	0.03911307700385189	0.0009004503124798635	0.3414527967728281	-8.513351785516383	1.872781723794017
19000	-0.4965348611014783	1.0	0.14160459164090528	0.0	-0.652129984278955	0.00487806438964841	0.0005136314827422208	0.4461483126721211	-13.546808129854973	1.3779127769028445
20000	-0.44632797720807227	1.0	0.11008114877008242	0.0	-0.6319048623977568	0.010887874962424136	0.00043967731513251543	0.42739676639973345	1.5875510317349033	3.1762085886118023
21000	-0.4822971707670932	1.0	0.19948703933831052	0.0	-0.6489450524848874	0.020378363389048804	0.0008307400519101409	0.40108804063604603	-7.662152873777626	2.1905560507207054
22000	-0.4470615616107262	1.0	0.2191151618258252	0.0	-0.657867934087673	0.01808635378535932	0.0020923871567838587	0.42630475514662847	-2.163565368683554	2.7771585126677327
