Training steps	Validation return	Validation steps	Validation return std	Validation steps std	Q-value evaluation	Q-network loss	Policy-network loss	Alpha loss	Alpha
16000	-0.19819253301920897	60.0	0.015789410786150197	0.0	23.668764114379883	1.076657	-29.961618	-0.93488705	[0.90012604]
17000	-0.20145685551229014	60.0	0.016415170158315236	0.0	47.104637145996094	1.911037	-52.665245	-1.8046708	[0.813957]
18000	-0.19539129857361587	48.8	0.018193811741196372	15.051910177781425	66.96406555175781	3.3090632	-72.11689	-2.7476091	[0.7362676]
19000	-0.26744357515084005	60.0	0.00929731235612887	0.0	7795082.5	71515060000.0	-9281011.0	5.1743426	[0.6836858]
20000	-0.2693102295591495	60.0	0.010036216615967056	0.0	110061328.0	4882883000000.0	-114403690.0	-3.011349	[0.7142478]
21000	-0.27239369164326865	60.0	0.0032594688749545786	0.0	192190304.0	27157510000000.0	-204940270.0	-3.5043733	[0.65478307]
22000	-0.26512766157628787	60.0	0.007657900305308549	0.0	876575168.0	971920360000000.0	-983490050.0	4.390027	[0.73116815]
23000	-0.2643505567373483	60.0	0.009273261906246139	0.0	2725819136.0	7470760000000000.0	-2870761700.0	2.900076	[0.81317234]
24000	-0.2670425881961574	60.0	0.010031061654278176	0.0	6966439424.0	1.710511e+17	-8556009500.0	1.4514723	[0.9017128]
25000	-0.27195020571579914	60.0	0.00934887437958776	0.0	12998204416.0	1.6225074e+17	-13539363000.0	0.01754886	[0.99886286]
26000	-0.27104848547787314	60.0	0.008123145042228998	0.0	17732493312.0	3.9287928e+17	-18103194000.0	-1.4107623	[1.1048567]
27000	-0.26915397213651315	60.0	0.00968493264711567	0.0	23825057792.0	1.7524687e+19	-24725820000.0	-2.8313859	[1.2214355]
28000	-0.2749195436136733	60.0	0.008762397072300391	0.0	32726876160.0	1.4412408e+18	-34053340000.0	-4.249226	[1.3500501]
29000	-0.2682961534766252	60.0	0.007187622670565324	0.0	52564320256.0	4.99889e+18	-55452990000.0	-5.6660275	[1.492098]
30000	-0.2674285712617262	60.0	0.009038318239884218	0.0	123186569216.0	5.2772976e+20	-159873800000.0	-7.0824747	[1.6490506]
31000	-0.26621110835366446	60.0	0.0076214127862804645	0.0	210981765120.0	1.4159542e+22	-316479300000.0	-8.498922	[1.8225131]
32000	-0.2657720973291603	60.0	0.0096172611985934	0.0	267077976064.0	4.9549837e+22	-439343150000.0	-9.915369	[2.014222]
33000	-0.2514255770893546	60.0	0.007040873479030839	0.0	308485914624.0	1.3859381e+23	-589216500000.0	-11.331817	[2.2260964]
