Training steps	Validation return	Validation steps	Validation return std	Validation steps std	Q-value evaluation	Q-network loss	Policy-network loss	Alpha loss	Log Pi
527000	-0.3594971905037822	60.0	0.10195172842633558	0.0	0.0	0.22224712	0.0	-1725.6165	-1.3268759
528000	-0.45329080660564947	60.0	0.04904269457307722	0.0	0.0	0.21463436	0.0	-1725.2977	-1.3200103
529000	-0.25599287631661877	60.0	0.05260356475272762	0.0	0.0	0.23552029	0.0	-1713.9646	-1.2920134
530000	-0.30668576038893336	60.0	0.06238639003441495	0.0	0.0	0.23714869	0.0	-1705.227	-1.269098
531000	-0.313826554989567	60.0	0.0918612618862934	0.0	0.0	0.20607759	0.0	-1770.0048	-1.3869425
532000	-0.09467050473975298	48.2	0.5515181616341049	23.599999999999998	0.0	0.21581165	0.0	-1726.0779	-1.2967262
533000	-0.3126642851151594	60.0	0.11628613671228304	0.0	0.0	0.21111092	0.0	-1756.5544	-1.3486838
534000	-0.2844470899129977	60.0	0.09434466207009434	0.0	0.0	0.24131638	0.0	-1783.7297	-1.3941703
535000	-0.2737673512259312	60.0	0.0307206041831703	0.0	0.0	0.22167295	0.0	-1768.0125	-1.3580196
536000	-0.2525599288028504	60.0	0.0818416061712711	0.0	0.0	0.19711092	0.0	-1777.3439	-1.3694912
537000	-0.34271998239018925	60.0	0.09816483484799761	0.0	0.0	0.21788809	0.0	-1713.2208	-1.2419233
538000	-0.272323913694534	60.0	0.06735312905241221	0.0	0.0	0.22937028	0.0	-1781.2433	-1.3644218
539000	-0.29511290341622376	60.0	0.08085640961606547	0.0	0.0	0.24583678	0.0	-1782.2437	-1.3601117
540000	-0.2779417641677947	60.0	0.08616733836552085	0.0	0.0	0.21218233	0.0	-1801.5481	-1.3902651
541000	-0.2692998235864842	60.0	0.12487807112528229	0.0	0.0	0.18435507	0.0	-1759.9071	-1.3058262
542000	-0.2908387980595622	60.0	0.05276424293300079	0.0	0.0	0.21951234	0.0	-1767.8677	-1.3146985
543000	-0.27635620124383486	60.0	0.05675961177745583	0.0	0.0	0.20066169	0.0	-1779.6067	-1.3306055
544000	-0.34598914672058173	60.0	0.13409025230657293	0.0	0.0	0.2416676	0.0	-1785.6573	-1.3358328
545000	-0.34784603503984857	60.0	0.07500325590560354	0.0	0.0	0.20635203	0.0	-1797.955	-1.352689
546000	-0.2904577878272745	60.0	0.07496712798306643	0.0	0.0	0.24219394	0.0	-1763.9348	-1.2832704
547000	-0.31420841998452653	60.0	0.070366585941698	0.0	0.0	0.19780925	0.0	-1796.3811	-1.3375962
548000	-0.3087014859162888	60.0	0.08768371905053671	0.0	0.0	0.2406703	0.0	-1771.2739	-1.2849879
549000	-0.30465192700691335	60.0	0.09337218154619827	0.0	0.0	0.20154253	0.0	-1769.6903	-1.2761172
550000	-0.3184348409332512	60.0	0.06873113059439799	0.0	0.0	0.21719238	0.0	-1816.2711	-1.3562804
551000	-0.3394266465511596	60.0	0.08438841888411619	0.0	0.0	0.21118432	0.0	-1797.4779	-1.315568
552000	-0.2710130058847612	60.0	0.047203085596355006	0.0	0.0	0.22781244	0.0	-1827.6921	-1.3652377
553000	-0.32658609065658223	60.0	0.09374368644559436	0.0	0.0	0.234626	0.0	-1771.9209	-1.2566931
554000	-0.35217288433114435	60.0	0.09365311477664018	0.0	0.0	0.20866117	0.0	-1840.8108	-1.3772471
555000	-0.3083503976570165	60.0	0.04942578807465786	0.0	0.0	0.21959206	0.0	-1835.5388	-1.3615515
556000	-0.24094785595612422	60.0	0.04116179380296915	0.0	0.0	0.20972687	0.0	-1862.228	-1.404341
557000	-0.33947011849103836	60.0	0.10949529902872376	0.0	0.0	0.22834854	0.0	-1835.4467	-1.3494022
558000	-0.2896757074767372	60.0	0.07995090564358755	0.0	0.0	0.22685625	0.0	-1861.8302	-1.3915037
559000	-0.25038970830471796	60.0	0.04479773949186904	0.0	0.0	0.20804569	0.0	-1842.1731	-1.3497362
560000	-0.3022077616849855	60.0	0.05443948969633999	0.0	0.0	0.23096928	0.0	-1852.4373	-1.3624284
561000	-0.3432317018083756	60.0	0.09667283211517147	0.0	0.0	0.21867768	0.0	-1813.3138	-1.2855892
562000	-0.36665135376911684	60.0	0.09474860735373954	0.0	0.0	0.19577253	0.0	-1920.5537	-1.4737535
563000	-0.29434195923094647	60.0	0.057508467569002644	0.0	0.0	0.23305207	0.0	-1842.7761	-1.3271966
564000	-0.32848930563338274	60.0	0.10953586099547795	0.0	0.0	0.23885807	0.0	-1880.5278	-1.38938
565000	-0.27835999111377424	60.0	0.04020037022284715	0.0	0.0	0.20588273	0.0	-1864.1515	-1.35396
566000	-0.3433599344736704	60.0	0.09473205755388411	0.0	0.0	0.22830077	0.0	-1848.04	-1.3191407
567000	-0.29168988286096054	60.0	0.10368180370003065	0.0	0.0	0.23178986	0.0	-1849.619	-1.3161602
568000	-0.27782013792361077	60.0	0.09070319818597747	0.0	0.0	0.20788428	0.0	-1847.6761	-1.3068867
569000	-0.33236727761264345	60.0	0.049245137364856285	0.0	0.0	0.20611829	0.0	-1847.324	-1.3004875
570000	-0.3758100538635287	60.0	0.1373520098675396	0.0	0.0	0.22300546	0.0	-1905.625	-1.3987194
571000	-0.3291883837355165	60.0	0.06734271795435026	0.0	0.0	0.21869196	0.0	-1830.0771	-1.2583025
572000	-0.4260106470534229	60.0	0.11941444595795517	0.0	0.0	0.21223298	0.0	-1882.5664	-1.3459375
573000	-0.3196234181428926	60.0	0.10790618241369826	0.0	0.0	0.23152116	0.0	-1878.2401	-1.332464
574000	-0.25938514908024407	60.0	0.05685187924780878	0.0	0.0	0.24451679	0.0	-1883.8905	-1.3367074
575000	-0.3390094817658434	60.0	0.1277200804885801	0.0	0.0	0.23021252	0.0	-1875.0627	-1.315337
576000	-0.3747931041679383	60.0	0.11118930955962117	0.0	0.0	0.2110344	0.0	-1877.9978	-1.3148019
577000	-0.3982594213820117	60.0	0.09183640782372372	0.0	0.0	0.21241252	0.0	-1874.6421	-1.3031847
578000	-0.3287489849717478	60.0	0.03391401037481778	0.0	0.0	0.21135753	0.0	-1892.1132	-1.3282424
579000	-0.2974604255879515	60.0	0.05678379464726195	0.0	0.0	0.2225519	0.0	-1921.009	-1.3732761
580000	-0.2696836519109403	60.0	0.0729477524701074	0.0	0.0	0.21970266	0.0	-1919.0802	-1.3641176
581000	-0.2800998773440785	60.0	0.07770916398793115	0.0	0.0	0.22273749	0.0	-1870.5197	-1.2733876
582000	-0.27304220760522185	60.0	0.03018079693428808	0.0	0.0	0.22629032	0.0	-1917.2983	-1.3495249
583000	-0.21768746447837045	60.0	0.0140501232074385	0.0	0.0	0.21349312	0.0	-1909.4534	-1.3301373
584000	-0.2844585230270842	60.0	0.08044929069357414	0.0	0.0	0.21679853	0.0	-1904.5012	-1.315853
585000	-0.3141026976520604	60.0	0.07996292126081336	0.0	0.0	0.23867512	0.0	-1914.5515	-1.3276932
586000	-0.08309662291619944	48.2	0.5452440256071431	23.599999999999998	0.0	0.21007976	0.0	-1910.0618	-1.3142639
587000	-0.3548974750399326	60.0	0.08863652632346976	0.0	0.0	0.23533049	0.0	-1916.0896	-1.3190972
588000	-0.26186474317494485	60.0	0.027728340220604313	0.0	0.0	0.21223477	0.0	-1950.86	-1.3736184
589000	-0.28935467426444683	60.0	0.07097746944082678	0.0	0.0	0.2266544	0.0	-1982.0022	-1.421694
590000	-0.3238919946591122	60.0	0.10059924517591716	0.0	0.0	0.23516856	0.0	-1954.7288	-1.3689275
591000	-0.3586952252048989	60.0	0.041163086651040355	0.0	0.0	0.22245656	0.0	-1966.3059	-1.3831865
592000	-0.04197889606441635	48.2	0.5220607786643564	23.599999999999998	0.0	0.21351342	0.0	-1944.4998	-1.3400539
593000	-0.3494892405733982	60.0	0.11194740979931436	0.0	0.0	0.20570122	0.0	-1925.5498	-1.3019613
594000	-0.3766503989684056	60.0	0.08333738438526613	0.0	0.0	0.22585106	0.0	-1936.2141	-1.314698
595000	-0.3000661342683061	60.0	0.05740132252106685	0.0	0.0	0.21344224	0.0	-1971.7355	-1.3698741
596000	-0.31502387044869284	60.0	0.11972723186265669	0.0	0.0	0.21023773	0.0	-1938.9666	-1.3083472
597000	-0.3401714185377944	60.0	0.11639159981104909	0.0	0.0	0.21940249	0.0	-1961.3198	-1.3409202
598000	-0.275002589501688	60.0	0.0768355774451132	0.0	0.0	0.20213906	0.0	-1966.5723	-1.3443041
599000	-0.31751752605063316	60.0	0.046102912308823046	0.0	0.0	0.20194566	0.0	-1976.4138	-1.3554678
600000	-0.26444741010743	60.0	0.04474192580677496	0.0	0.0	0.21319771	0.0	-2003.9857	-1.3966467
