Averaged Steps Training	Averaged Return Training	Averaged Steps Validation	Averaged Return Validation	Cumulative Successes	Number of episodes	Sampling time (s)	Epsilon threshold	Gradient update	Updates target network	Average q-value evaluation
18.0	-0.89	64.0	-62.8	381	1760	0.00016773600469936024	0.37838077993642194	68074	6261	-31.8233642578125
50.0	-50.0	80.0	-80.0	385	1780	0.0004735767171624001	0.37487365389060345	68913	6261	-30.288206100463867
2.0	0.0	81.0	-80.4	387	1800	2.027855979071723e-05	0.371130906845017	69820	6261	-31.94671058654785
2.0	0.0	69.0	-68.6	391	1820	1.8468662932678892e-05	0.36779256209936	70636	6261	-31.931488037109375
50.0	-50.0	100.0	-100.0	394	1840	0.0004413609919340714	0.3641588813456529	71536	6261	-31.574003219604492
50.0	-50.0	84.0	-83.4	395	1860	0.0004484321481438093	0.36044254670449666	72468	6261	-29.751379013061523
39.0	-0.95	86.0	-85.4	398	1880	0.0003332382821022196	0.35695812863808174	73351	6261	-30.055500030517578
49.0	-0.96	73.0	-72.6	403	1900	0.00042428694273296153	0.35361906788189557	74206	6261	-30.116703033447266
50.0	-50.0	100.0	-100.0	408	1920	0.0004283871501684189	0.35055292135995464	74998	6261	-29.894277572631836
31.0	-0.94	61.0	-59.8	415	1940	0.00027861767208453304	0.34776701429297996	75723	6262	-31.6418514251709
50.0	-50.0	71.0	-70.2	417	1960	0.0004307332087536247	0.34432183617633366	76634	6262	-32.08613967895508
50.0	-50.0	85.0	-84.8	423	1980	0.00040836346269858005	0.341670240128724	77338	6262	-32.23625183105469
50.0	-50.0	80.0	-79.8	426	2000	0.00041893863677978514	0.33846141961005594	78203	6262	-34.09650802612305
50.0	-50.0	100.0	-100.0	429	2020	0.0004166063695850939	0.3350419463130051	79137	6262	-33.92793273925781
50.0	-50.0	63.0	-62.4	433	2040	0.00040326048346126783	0.33202235743626285	79969	6262	-33.627017974853516
13.0	-0.85	80.0	-79.8	439	2060	0.0001082515253604037	0.32934535544796195	80712	6262	-33.4823112487793
50.0	-50.0	90.0	-89.4	444	2080	0.00040639088704035834	0.32627212758638635	81577	6262	-31.050113677978516
50.0	-50.0	62.0	-61.0	450	2100	0.00039018562861851285	0.323434293398763	82383	6262	-31.111831665039062
1.0	1.0	80.0	-79.8	454	2120	9.32632752184598e-06	0.32060193039900614	83196	6263	-34.661834716796875
50.0	-50.0	62.0	-60.8	460	2140	0.0003832257796670789	0.31780560142424835	84007	6263	-34.52480697631836
50.0	-50.0	100.0	-100.0	462	2160	0.00040132657245353415	0.314803051949203	84889	6263	-34.64439010620117
38.0	-0.95	100.0	-100.0	464	2180	0.0002930390725442029	0.3115561150235813	85856	6263	-34.70210647583008
31.0	-0.94	100.0	-100.0	466	2200	0.0002358290282162753	0.30850727830848634	86774	6263	-34.354732513427734
7.0	-0.71	100.0	-100.0	472	2220	5.3232639759510486e-05	0.30609509733994955	87504	6263	-35.197208404541016
50.0	-50.0	83.0	-83.0	477	2240	0.0003674346421446119	0.30342967021364586	88321	6263	-35.167232513427734
50.0	-50.0	92.0	-91.6	481	2260	0.00036996360373708	0.3007042229066186	89166	6263	-35.1456184387207
50.0	-50.0	81.0	-80.2	485	2280	0.00037034540845636737	0.2979801864147366	90020	6264	-41.230796813964844
50.0	-50.0	63.0	-62.4	486	2300	0.00035280341687409775	0.29504977409556793	90951	6264	-36.42874526977539
2.0	0.0	100.0	-100.0	495	2320	1.5553626520880337e-05	0.29282386605748356	91661	6264	-36.868385314941406
50.0	-50.0	100.0	-100.0	499	2340	0.00034382995377239	0.29026653016120346	92488	6264	-36.730194091796875
50.0	-50.0	100.0	-100.0	500	2360	0.0003566464125099829	0.287400561999773	93428	6264	-36.7814826965332
28.0	-0.93	83.0	-82.6	504	2380	0.00019223649962609555	0.28476824815442664	94300	6264	-36.53812789916992
50.0	-50.0	38.0	-36.0	509	2400	0.00034925023714701335	0.2820925813215068	95197	6264	-36.322086334228516
50.0	-50.0	69.0	-68.6	512	2420	0.00034375880375381345	0.27963104058300703	96030	6264	-36.56953048706055
50.0	-50.0	74.0	-73.0	518	2440	0.00032806630994452806	0.27732628163295286	96817	6264	-36.758522033691406
50.0	-50.0	73.0	-72.0	520	2460	0.00033468851229039633	0.2747466683605031	97710	6265	-43.44889831542969
38.0	-0.95	81.0	-80.2	524	2480	0.0002650081149993404	0.27223521533060974	98589	6265	-40.81353759765625
50.0	-50.0	81.0	-81.0	530	2500	0.0003270474433898926	0.269966189287407	99390	6265	-40.73871994018555
50.0	-50.0	100.0	-100.0	532	2520	0.0003223242267729744	0.2674238880932485	100300	6265	-42.601158142089844
50.0	-50.0	100.0	-100.0	534	2540	0.0003258492064288282	0.2648035414044986	101250	6265	-42.576629638671875
2.0	0.0	100.0	-100.0	540	2560	1.4585256576538085e-05	0.262610392902386	102051	6265	-42.430137634277344
50.0	-50.0	81.0	-80.8	545	2580	0.00032240096912827603	0.2604185935793502	102860	6265	-42.99679183959961
50.0	-50.0	100.0	-100.0	551	2600	0.00031537505296560435	0.25821294904845526	103683	6265	-42.32447814941406
50.0	-50.0	50.0	-48.4	553	2620	0.0002979048335825214	0.2557396119297673	104619	6265	-39.498287200927734
50.0	-50.0	68.0	-66.4	557	2640	0.00032096107800801593	0.25352449160013485	105465	6266	-43.03657150268555
19.0	-0.89	80.0	-80.0	562	2660	0.0001183797542313884	0.2514641297647892	106259	6266	-43.12572479248047
50.0	-50.0	100.0	-100.0	563	2680	0.0003008004444748608	0.24908340340003854	107190	6266	-43.14337158203125
18.0	-0.89	97.0	-97.0	567	2700	0.00011104115733393917	0.24690794780035547	108049	6266	-43.8094596862793
50.0	-50.0	80.0	-79.8	572	2720	0.0003035450682920568	0.24487071710505354	108861	6266	-43.72146224975586
50.0	-50.0	100.0	-100.0	575	2740	0.00029672888943748754	0.24267625582511992	109747	6266	-43.3896369934082
6.0	-0.67	86.0	-85.2	582	2760	3.8094537845556285e-05	0.24085211277713714	110488	6266	-44.004783630371094
50.0	-50.0	100.0	-100.0	585	2780	0.0002917259717159134	0.23868403610993527	111382	6266	-43.67557907104492
50.0	-50.0	80.0	-79.6	591	2800	0.0003008016518184117	0.23675289940429783	112185	6266	-40.79164123535156
50.0	-50.0	65.0	-64.2	597	2820	0.000293834074169186	0.23481380327862755	113000	6267	-44.58222198486328
50.0	-50.0	58.0	-57.2	602	2840	0.00030071139335632326	0.23297716241079175	113779	6267	-47.479976654052734
50.0	-50.0	64.0	-63.2	608	2860	0.000280136495203405	0.23107500713489337	114595	6267	-47.058162689208984
50.0	-50.0	71.0	-69.8	617	2880	0.00029990275700887047	0.22955136975846796	115251	6267	-46.759559631347656
50.0	-50.0	100.0	-100.0	619	2900	0.0002822328435963598	0.2274983564585874	116151	6267	-46.32173538208008
2.0	0.0	81.0	-80.6	624	2920	1.33394378505341e-05	0.2255675465498614	117006	6267	-46.02322006225586
50.0	-50.0	100.0	-100.0	627	2940	0.0002859847886221749	0.223570932637781	117901	6267	-43.6776123046875
50.0	-50.0	100.0	-100.0	632	2960	0.0002939527904665148	0.22187179990008493	118668	6267	-45.89069747924805
7.0	-0.71	66.0	-64.8	635	2980	4.110872345482743e-05	0.21999369523071205	119527	6267	-45.945655822753906
50.0	-50.0	100.0	-100.0	641	3000	0.0002793118158976237	0.21825384976548307	120330	6268	-49.40188980102539
50.0	-50.0	85.0	-84.6	645	3020	0.00029016693696280976	0.2163674422161227	121212	6268	-47.12624740600586
50.0	-50.0	62.0	-60.8	649	3040	0.00028516869795949833	0.21450218445588887	122094	6268	-47.37102508544922
50.0	-50.0	100.0	-100.0	652	3060	0.00027619818456811845	0.21259278923535935	123008	6268	-47.46633529663086
35.0	-0.94	62.0	-60.8	655	3080	0.0001875080071486436	0.21066337690604786	123943	6268	-47.53485870361328
17.0	-0.88	80.0	-80.0	657	3100	8.84306046270555e-05	0.20880647927878526	124853	6268	-47.14767074584961
50.0	-50.0	81.0	-80.2	660	3120	0.00025972311313335713	0.20703973295624428	125728	6268	-47.474029541015625
50.0	-50.0	100.0	-100.0	665	3140	0.00026434819409801703	0.20544801227038734	126523	6268	-47.34999465942383
50.0	-50.0	91.0	-91.0	666	3160	0.00027149576175061963	0.20360722378905505	127456	6268	-50.26482391357422
1.0	1.0	91.0	-90.6	672	3180	5.797170243173276e-06	0.20204839365512356	128252	6269	-54.063148498535156
2.0	0.0	82.0	-81.6	676	3200	1.171879470348358e-05	0.20048845187003933	129057	6269	-53.97955322265625
50.0	-50.0	100.0	-100.0	679	3220	0.00024092471377449746	0.19882726668822476	129925	6269	-53.58205795288086
50.0	-50.0	89.0	-89.0	682	3240	0.0002523781340799214	0.19712923489281253	130823	6269	-50.81899642944336
50.0	-50.0	65.0	-64.0	686	3260	0.00024843822959010585	0.1955396924110565	131672	6269	-54.22506332397461
50.0	-50.0	80.0	-80.0	689	3280	0.00025648242089806536	0.19376590966508578	132633	6269	-51.28864288330078
50.0	-50.0	84.0	-83.6	692	3300	0.00024887937487977926	0.19208121766498837	133556	6269	-51.40314865112305
50.0	-50.0	80.0	-79.8	695	3320	0.00024674721511013534	0.19045664287103486	134456	6269	-50.848609924316406
50.0	-50.0	84.0	-83.8	700	3340	0.0002425360108564	0.18904343265734314	135245	6270	-55.304012298583984
50.0	-50.0	100.0	-100.0	703	3360	0.00024112030154182796	0.18741064474856334	136170	6270	-55.514892578125
50.0	-50.0	100.0	-100.0	703	3380	0.00024167856521155	0.1857037023052323	137150	6270	-55.15907669067383
50.0	-50.0	80.0	-79.8	709	3400	0.00025861831272349636	0.18427955383832428	137974	6270	-52.673255920410156
50.0	-50.0	81.0	-80.8	715	3420	0.0002457012907106277	0.18289194434654427	138785	6270	-52.67918014526367
50.0	-50.0	80.0	-80.0	721	3440	0.00025323407594547714	0.18153511490704444	139586	6270	-52.615570068359375
50.0	-50.0	81.0	-80.4	725	3460	0.00023282456260196045	0.18011567330597927	140434	6270	-56.025665283203125
10.0	-0.8	84.0	-84.0	731	3480	4.74580403031974e-05	0.1788371043562924	141204	6270	-55.78013229370117
50.0	-50.0	100.0	-100.0	734	3500	0.00023473630632672992	0.17741492022212785	142072	6270	-55.6671028137207
1.0	1.0	80.0	-79.8	742	3520	5.7136470621282404e-06	0.17625123489881223	142786	6271	-56.27070999145508
50.0	-50.0	66.0	-64.8	745	3540	0.00023728972774440959	0.17485291312889423	143657	6271	-58.56545639038086
50.0	-50.0	81.0	-80.6	748	3560	0.00023987172694688432	0.17346390541251655	144532	6271	-56.028743743896484
50.0	-50.0	82.0	-81.2	752	3580	0.00023164356221033874	0.17210256026453874	145399	6271	-56.3298225402832
50.0	-50.0	65.0	-64.0	754	3600	0.0002352342340681288	0.1705948221732233	146373	6271	-59.11745834350586
50.0	-50.0	80.0	-80.0	757	3620	0.00023012477390015322	0.16924871445805173	147251	6271	-56.22925567626953
50.0	-50.0	100.0	-100.0	765	3640	0.0002235208238874163	0.16813155182776507	147984	6271	-56.26629638671875
2.0	0.0	100.0	-100.0	770	3660	1.0119630990784024e-05	0.1669663573561299	148757	6271	-56.10015869140625
50.0	-50.0	80.0	-79.8	774	3680	0.00022580014622729756	0.1656940086635746	149612	6271	-56.162593841552734
50.0	-50.0	84.0	-83.2	776	3700	0.00022381060832255594	0.1643454179747344	150530	6272	-62.68659210205078
50.0	-50.0	85.0	-84.4	780	3720	0.00022016654732406781	0.16304786911354419	151423	6272	-59.97329330444336
50.0	-50.0	100.0	-100.0	787	3740	0.0002188592671073057	0.16200559769707817	152144	6272	-63.190765380859375
50.0	-50.0	73.0	-72.2	792	3760	0.00022990342150343225	0.16081768233976027	152977	6272	-62.712806701660156
50.0	-50.0	100.0	-100.0	794	3780	0.0002135551795757637	0.15952593269525772	153895	6272	-59.2415885925293
50.0	-50.0	100.0	-100.0	796	3800	0.00021919244214108115	0.15823300420099384	154825	6272	-60.205352783203125
50.0	-50.0	49.0	-47.4	800	3820	0.00021789173805276762	0.15707573089461652	155665	6272	-59.634151458740234
50.0	-50.0	100.0	-100.0	807	3840	0.00021604057401418685	0.15606067642901367	156407	6272	-60.019500732421875
8.0	-0.75	100.0	-100.0	812	3860	3.179960300267669e-05	0.15493712376265234	157239	6272	-60.11611557006836
50.0	-50.0	65.0	-64.2	815	3880	0.00021944617487720607	0.15373855600745917	158138	6273	-61.32757568359375
50.0	-50.0	100.0	-100.0	820	3900	0.00020723361235398512	0.15260368512449174	158998	6273	-61.5149040222168
50.0	-50.0	100.0	-100.0	822	3920	0.0002086593788497302	0.15142416227270317	159903	6273	-61.63380813598633
50.0	-50.0	85.0	-84.8	827	3940	0.00020411904088131667	0.15037732644016027	160713	6273	-62.19187545776367
6.0	-0.67	61.0	-60.2	834	3960	2.5153220301926737e-05	0.14941955746445412	161460	6273	-62.0375862121582
20.0	-0.9	83.0	-82.4	839	3980	8.123532012479389e-05	0.1484032517236606	162262	6273	-66.70427703857422
50.0	-50.0	73.0	-72.6	844	4000	0.00021157240867614746	0.1473474317136789	163105	6273	-65.64424133300781
50.0	-50.0	66.0	-65.2	847	4020	0.0002063090528421734	0.14624156658994872	163999	6273	-65.36366271972656
50.0	-50.0	81.0	-80.2	852	4040	0.00020308766034570072	0.14524941283104664	164808	6273	-65.39859771728516
50.0	-50.0	100.0	-100.0	855	4060	0.00020218541469480016	0.14416973537913008	165700	6274	-65.37834167480469
50.0	-50.0	100.0	-100.0	858	4080	0.0002020336249295403	0.14308135069835926	166610	6274	-68.33316040039062
50.0	-50.0	100.0	-100.0	860	4100	0.00020575377999282465	0.1419894456694975	167534	6274	-68.1322021484375
33.0	-0.94	81.0	-80.2	862	4120	0.00013348732179808384	0.14091148578614396	168457	6274	-64.22300720214844
50.0	-50.0	62.0	-60.8	866	4140	0.00019780593217858945	0.13993155216544018	169304	6274	-64.58006286621094
50.0	-50.0	86.0	-85.2	873	4160	0.00020301685883448675	0.1390122365390667	170106	6274	-68.0317611694336
50.0	-50.0	82.0	-81.4	875	4180	0.00019897638895865263	0.13797356305242922	171025	6274	-67.57135009765625
50.0	-50.0	100.0	-100.0	878	4200	0.000197678804397583	0.13698288276631787	171911	6274	-63.859371185302734
50.0	-50.0	81.0	-80.2	884	4220	0.00019578159702897637	0.13605174914122453	172752	6275	-71.11470794677734
40.0	-0.95	60.0	-59.6	888	4240	0.00015886139194920377	0.13508696486174482	173634	6275	-70.31112670898438
50.0	-50.0	54.0	-52.6	892	4260	0.0001889336836729811	0.13418454467610194	174467	6275	-70.24095916748047
50.0	-50.0	71.0	-70.6	898	4280	0.00019980758150047232	0.13337086013788263	175224	6275	-69.84053802490234
50.0	-50.0	81.0	-80.4	903	4300	0.00019001284310984058	0.1324979834065042	176046	6275	-69.51700592041016
50.0	-50.0	100.0	-100.0	908	4320	0.00019556063192862052	0.13165159464561477	176851	6275	-65.35073852539062
50.0	-50.0	100.0	-100.0	909	4340	0.00019682557901479133	0.13068368202863562	177785	6275	-70.0655746459961
50.0	-50.0	70.0	-69.0	912	4360	0.00019073426176648622	0.1297282398178246	178718	6275	-69.66397857666016
2.0	0.0	80.0	-79.8	917	4380	8.883868178276167e-06	0.1289329572281536	179500	6275	-66.43846893310547
50.0	-50.0	100.0	-100.0	921	4400	0.00019373644482005727	0.12806750096872138	180362	6276	-69.85430145263672
10.0	-0.8	100.0	-100.0	927	4420	3.967101757342999e-05	0.12729168249528838	181141	6276	-69.73619842529297
50.0	-50.0	77.0	-76.2	930	4440	0.00018511108449987464	0.12641078487417062	182038	6276	-73.362060546875
50.0	-50.0	100.0	-100.0	935	4460	0.000189277249066819	0.1256344108412082	182835	6276	-73.17167663574219
50.0	-50.0	100.0	-100.0	938	4480	0.00017703537430082048	0.12477053195100395	183734	6276	-73.01130676269531
50.0	-50.0	100.0	-100.0	943	4500	0.00018411853578355577	0.12393222901684425	184616	6276	-68.7517318725586
50.0	-50.0	100.0	-100.0	950	4520	0.00018523198313417688	0.12321031669439257	185381	6276	-72.89800262451172
50.0	-50.0	83.0	-82.4	955	4540	0.0001878184368956982	0.12239493580383297	186257	6276	-69.69593811035156
26.0	-0.92	100.0	-100.0	959	4560	0.00010050927337847258	0.12156447914096061	187160	6276	-69.8125228881836
50.0	-50.0	100.0	-100.0	964	4580	0.00018173570716224904	0.12086302933308457	187928	6277	-72.85193634033203
50.0	-50.0	60.0	-58.8	965	4600	0.00018294132274130115	0.1200098782173788	188877	6277	-73.60869598388672
50.0	-50.0	81.0	-81.0	970	4620	0.0001779445322045	0.11926909516306075	189708	6277	-73.70687866210938
50.0	-50.0	46.0	-44.6	973	4640	0.0001709192991256714	0.1184496781317377	190640	6277	-73.97431182861328
50.0	-50.0	53.0	-52.0	978	4660	0.00018772060779031254	0.11765602077069565	191553	6277	-77.55132293701172
30.0	-0.93	64.0	-63.2	983	4680	0.00011262211025270641	0.11694934907155811	192373	6277	-74.56652069091797
50.0	-50.0	100.0	-100.0	988	4700	0.0001781640661523697	0.11631136826152516	193119	6277	-77.73270416259766
50.0	-50.0	87.0	-86.2	993	4720	0.00018125292608293437	0.11561792131937576	193940	6277	-77.75603485107422
50.0	-50.0	100.0	-100.0	996	4740	0.00018025676912396266	0.1149065698852685	194792	6277	-77.27564239501953
50.0	-50.0	100.0	-100.0	1002	4760	0.00017466069269581	0.11426154198839325	195571	6278	-80.42904663085938
50.0	-50.0	80.0	-79.8	1008	4780	0.000175158249284433	0.11363962745347078	196329	6278	-77.12531280517578
7.0	-0.71	86.0	-85.8	1012	4800	2.5844871997833253e-05	0.11295523066947519	197174	6278	-77.33958435058594
