Step	Validation return	Validation steps	Validation return std	Validation steps std	Q-value evaluation	Q-network loss	Value-network loss	Policy-network loss	Alpha loss	Log Pi
11000	-0.062143346507598826	63.0	0.11910653918190232	1.4142135623730951	-2.317595646705418	0.003051590877496245	0.08634153640131381	1.7590480951926566	-1.8814474559541674	0.1144513008401813
12000	-0.04102156299513618	63.0	0.07292617173903462	1.4142135623730951	-3.785801768508866	0.006358732614983814	0.009405194985941966	2.8001482270303533	-3.2717869682048732	0.3524766849289531
13000	-0.017616828107455594	63.0	0.0293101657545119	1.4142135623730951	-4.930485582839563	0.009682348941878041	0.009240732038643179	3.5065259620500004	-3.6850546763781558	0.7186028303754732
14000	-0.020388981704151436	63.0	0.035844369509633	1.4142135623730951	-5.604746935514798	0.019813860362992316	0.024516250958959988	3.8394619647822568	-2.4641734215078186	1.311984424726965
15000	-0.02866244997849362	63.0	0.0512173195249215	1.4142135623730951	-5.874477447006149	0.019858477991051934	0.020221324987027736	4.0172475502346945	-0.05319599988323081	1.9867683883425857
16000	-0.016810874158645975	39.0	0.025469178998414894	20.396078054371138	-6.058740137763963	0.02963970389876154	0.03198869685143722	4.079879868750711	-0.6171181592080561	1.852848225994172
17000	-0.012274267637637348	63.0	0.016712111978096827	1.4142135623730951	-6.060304714783955	0.08158613713223244	0.01824200692213445	4.022492867113655	-0.06138809391361427	1.9853661971033287
18000	-0.0072172211028181	63.0	0.010711214081902024	1.4142135623730951	-6.075428099727814	0.08892983176100587	0.024935332844982633	4.080431590388143	1.1327793208203796	2.2736167840997394
19000	-0.01640076701741377	45.4	0.022516062797851916	20.751867385852293	-6.020266665582698	0.02904995411805747	0.025603288688766022	3.100368190649843	-0.4222625618275224	1.8954575624098482
20000	-0.00014705379961959096	40.8	0.02825389539985627	19.20833152566875	-5.796726981746532	0.09599198050320223	0.014570855777557585	3.431390941785845	-0.1608346572361783	1.9599770510430317
21000	-0.014328997281335572	63.0	0.021766540946546897	1.4142135623730951	-5.57470513671723	0.028916628269107864	0.018210275145312316	2.4928130015773444	-1.0141225305614192	1.747866221903718
22000	-0.022664247534893656	63.0	0.04178818897180208	1.4142135623730951	-5.484221041025668	0.09638708408648462	0.019667590507426756	2.646118820558072	-1.313629564541323	1.6793237561021956
23000	-0.011410132181336179	63.0	0.016251067513794102	1.4142135623730951	-5.162475475314812	0.05400702896989647	0.028557064132773004	2.365079957527066	0.3428764950419641	2.0844604938478244
24000	-0.041460294717066894	49.8	0.044762623094368265	16.363373735266208	-5.086065763711888	0.036869571122812125	0.018474145085363526	2.387932785442268	-0.9968622111341267	1.762218044694612
25000	-0.009071519049885391	63.0	0.010216561963897084	1.4142135623730951	-4.933533432283983	0.04001109648133935	0.015067091144437425	2.2373919021619795	-0.1568318250901205	1.9626783754093409
26000	-0.018098333615246338	63.0	0.032676156143091606	1.4142135623730951	-4.772176434457482	0.027339325848508678	0.02122333403442834	1.9459063856445857	-0.6041926737255047	1.8577210447986459
27000	-0.031817214544912445	54.8	0.033729884916972604	15.432433379088343	-4.692470754044189	0.05012108865877338	0.022617711303333676	2.452535347254517	0.6946412023807531	2.162626391738024
28000	-0.01588676264616073	53.8	0.017774558992266785	17.428711943227473	-4.704378589945554	0.1770459145255091	0.018292642242273623	1.9970577294254506	-0.011437382795426415	1.9973180447270182
29000	-0.02932709634270884	54.2	0.03378513342132529	16.630093204789926	-4.5069804655541805	0.1483963309970776	0.029283091058445725	2.2304159387096045	0.5759669621774519	2.1338721363572084
30000	-0.00977478821847671	63.0	0.015925851349787166	1.4142135623730951	-4.569871079051536	0.11118435360195099	0.011501658708251906	2.20565538864307	-0.7611819347545208	1.8253981263706516
31000	0.014776043675356421	36.8	0.04511844167761861	21.92167876783163	-4.473830905608393	0.07979788993363149	0.023830021039308126	2.299885445948343	-1.2348072871065514	1.714507813862088
32000	-0.02999287368901956	63.0	0.051218017720436625	1.4142135623730951	-4.572123608773815	0.04054005363109961	0.012747917726618188	2.325660132568414	0.5696378768164694	2.1324739042745575
33000	-0.023345478664527942	63.0	0.040467514253793455	1.4142135623730951	-4.484014902670114	0.018556107296450425	0.019205864223293876	2.391143637183275	0.7616850012775297	2.177616273829124
34000	-0.002290568120011981	45.8	0.02569603921007286	19.260321908005587	-4.409791442782383	0.10429710058268116	0.025032552585188203	2.2359121749791733	0.33400599787334273	2.0786535461402984
35000	-0.02016067065621511	41.6	0.023908538059111806	15.041276541570532	-4.416702371747798	0.08993827748099159	0.020837885183849415	2.2629081729995963	0.8311085250872032	2.1931238720314212
36000	-0.027353160517841025	55.2	0.03306766097364621	14.634206503941375	-4.367211308884474	0.06370854357849048	0.017946651457351102	2.541020955119929	0.18751428289973723	2.043782917929843
37000	-0.027794186785561927	58.0	0.04094347944052301	9.055385138137417	-4.200570726384184	0.024107097767852456	0.016402874446855877	2.118633685544033	0.42496023770513053	2.100423406155622
38000	-0.022988653169839706	44.4	0.02221483087888321	16.181470884935027	-4.141613845204043	0.022835203836611192	0.01817216249622635	1.9501327635020362	0.08325523954875888	2.019516758432546
39000	-0.0075891753597332355	52.4	0.014694379949378498	12.57934815481311	-4.058504157783335	0.047354938027705455	0.016034680332244665	2.072159615899302	0.8529820374296326	2.2026914344686506
40000	-0.056074422439607786	48.4	0.07638262511900809	17.24644890984808	-3.9672704415813813	0.04945750122772946	0.016068299868459417	1.8558515325713143	0.8216521886193919	2.194730283873209
41000	-0.01780165124678884	41.6	0.030058603075482946	17.72681584492827	-4.094537084997516	0.048365825894621614	0.02727613547440938	1.883055011574887	0.2612130566249443	2.0617339841310542
42000	-0.007249717296862954	47.0	0.0381343625657804	21.13764414498456	-3.813389705030802	0.033473132809847046	0.02139470983118258	1.6258366913785272	-0.3491613373792807	1.9177875345292041
43000	-0.03260255151438451	49.2	0.03402562442290232	15.509996776273036	-3.7875584812285035	0.03249244306408784	0.015218070203719463	1.5117149658593472	-0.2998530945863682	1.9285097355315894
44000	-0.025114851586753417	47.6	0.038915071965307205	17.82806775845324	-3.7263939324651765	0.022381957064950574	0.015083246152208575	1.8396246311194373	0.2655254010138197	2.063475939865619
45000	-0.026408313534216778	48.4	0.0470169642055943	16.965848048358797	-3.7283339974900316	0.038308768343543166	0.02389154697058189	1.7033100645660493	0.38497384913678223	2.091040353564946
46000	-0.01949894222709129	63.0	0.031439335957672274	1.4142135623730951	-3.578641041148127	0.08585010085258857	0.00855240049804772	1.1013487938015336	-0.3292936827606511	1.9218530043165636
47000	-0.004296319180158079	39.0	0.023081618462646024	18.793615937333612	-3.615563814517908	0.03710759531812684	0.027463464728887166	1.4636831370504324	0.20835056842199695	2.049284053875235
48000	-0.037181507231001096	54.0	0.05227115640339057	17.029386365926403	-3.4631766852210943	0.0670750818952883	0.02087208735102477	1.2385574752722173	0.44335593498438114	2.105315135698175
49000	-0.020731000332806147	42.6	0.02574591177722356	17.715529910222838	-3.435897790103657	0.07568313762765233	0.013109935202014427	1.2872060126714877	-1.0491139252615782	1.7499169250957047
50000	-0.023841029811640983	50.4	0.028872063817148907	16.119553343687908	-3.448876799140841	0.023251914432323634	0.012287292484537068	1.302137543404778	0.5449632262040447	2.1275703898470013
51000	-0.03373850250486001	54.6	0.049616628010291056	15.83161394173064	-3.469740272843756	0.408186325224943	0.02145138141451604	1.082701261677548	-0.24628234415830783	1.9419247923688616
52000	-0.02863021419341048	54.6	0.03238580335305394	12.043255373859678	-3.350296738356466	0.12330813369230327	0.010748450555185113	0.9091511972186562	-0.6084089429140218	1.8579901444956106
53000	-0.019722931144957854	63.0	0.035217255962216934	1.4142135623730951	-3.3298176529925145	0.01720642960420912	0.011963384368755454	1.4825448451850842	0.17172573515411216	2.0401202050989395
54000	-0.017847967825885668	63.0	0.03339919154145476	1.4142135623730951	-3.2670593913941746	0.03448314080197394	0.01118179731735926	1.1876012375373115	-0.0622774978483871	1.9854935957120858
55000	-0.016418970964875094	63.0	0.025500157806910874	1.4142135623730951	-3.244597074589385	0.03853811616313181	0.028387656427764592	1.4016274927480756	-0.4297397356738545	1.900532084453582
56000	-0.009362895781344987	53.4	0.0208027793200369	18.227451824103117	-3.1418497214944887	0.034715001784526724	0.05085778806349879	0.9778627045912596	-0.6769024081625143	1.8420607564900462
57000	-0.010729878903196313	63.0	0.016659285267472717	1.4142135623730951	-3.1546437395515334	0.05582850353801129	0.0216970649761909	0.9700369544744339	0.5042722620164432	2.1170887958076987
58000	-0.03392328301069478	38.2	0.06210498994867517	17.85945127936466	-3.120236268101534	0.0653899468299842	0.014503654210027233	0.9480129161300266	0.6133635354036815	2.1421514224130336
59000	-0.03640757314437827	56.8	0.04138380779385152	11.443775600735973	-3.1388716568408457	0.030780286417654373	0.020231819143502663	1.00139114353694	0.08894382067454423	2.0207035172597756
60000	0.042726082303302756	37.4	0.13598327235804297	22.948638303829707	-3.118083144260342	0.028982640359529112	0.015925436533333254	1.4103752798695628	-0.45155886779559845	1.8948902118067394
61000	-0.007798520666624284	63.0	0.012172065017283308	1.4142135623730951	-3.146215579530597	0.022833602791276764	0.012257946482386376	1.1259655321281588	-0.4996946536734953	1.8842535199815016
62000	-0.035023405886484386	58.6	0.04316716730122018	7.863841300534999	-3.060706900435565	0.02505453171994	0.012195936852870685	0.9459528291139021	0.5869670774854604	2.137358113121537
63000	-0.02759430839233698	44.6	0.06245199102331677	21.341040274550814	-3.1014494904540086	0.10781666617432675	0.021817948287732862	1.1981474550126596	0.24393882281307494	2.0570725464625284
64000	-0.01567887468646684	48.6	0.0477842845480967	20.16531675922796	-3.126880982489555	0.02073568497850981	0.0123449550893115	0.9684102667707936	0.32405630816126413	2.074365349839397
65000	-0.022483474998338353	48.4	0.02622935079936841	17.41952927033334	-3.07634680715556	0.03484729162165177	0.010955006053603106	0.5993387482579074	-0.9329298610680475	1.7815710879649618
