Averaged Steps Traning	Averaged Return Training	Averaged Steps Validation	Averaged Return Validation	Cumulative Successes	Number of episodes	Sampling time (s)	Epsilon threshold	Gradient update	Average q-value evaluation
60.0	-1.77	54.0	-0.69	220	1760	0.0003808318213983016	0.33383781927411965	93811	-5.516148090362549
60.0	-1.2	50.0	-0.6	225	1800	0.0003846058580610487	0.3269405926313143	95985	-5.619644641876221
1.0	1.0	60.0	-0.96	231	1840	3.985477530437967e-06	0.3201629345738089	98175	-5.731503963470459
60.0	-0.84	60.0	-1.09	238	1880	0.0003767925374051358	0.31382362530955776	100272	-5.8310227394104
60.0	-1.53	51.0	-0.71	245	1920	0.0003524870922168096	0.307401300985857	102450	-5.932037353515625
60.0	-1.33	51.0	-0.66	254	1960	0.0003553058419908796	0.3012525407365877	104586	-6.029906272888184
60.0	-0.84	60.0	-0.87	261	2000	0.0003480039834976196	0.29531334424629435	106699	-6.127333641052246
60.0	-0.83	47.0	-0.42	270	2040	0.000327755890640558	0.28947462482116176	108827	-6.224388122558594
60.0	-1.79	41.0	-0.12	276	2080	0.00035956742671819836	0.2837463024117591	110966	-6.317603588104248
60.0	-1.67	48.0	-0.49	282	2120	0.0003427066892947791	0.27810430813360604	113125	-6.412971496582031
60.0	-1.36	53.0	-0.66	290	2160	0.0003012855847676595	0.2725589265656152	115300	-6.510377407073975
60.0	-1.39	50.0	-0.61	297	2200	0.0003080871972170743	0.26737044462345455	117383	-6.6008524894714355
36.0	0.02	50.0	-0.68	304	2240	0.00018584621804101125	0.2620977939646403	119553	-6.691712379455566
60.0	-0.62	51.0	-0.75	311	2280	0.00029388896205969023	0.2570082343011043	121699	-6.788644313812256
60.0	-1.12	60.0	-1.13	314	2320	0.0003026631371728305	0.25194429762451787	123888	-6.882942199707031
60.0	-1.03	53.0	-0.67	319	2360	0.0002915003542172707	0.24684232275587037	126151	-6.970863342285156
60.0	-0.78	39.0	-0.03	331	2400	0.0003032831350962321	0.24252057211563754	128109	-7.057796478271484
60.0	-0.53	60.0	-1.06	337	2440	0.0002890710947943515	0.23774844647032617	130328	-7.150299072265625
60.0	-1.57	60.0	-1.05	344	2480	0.00028336211558311215	0.2333022352909035	132445	-7.2358269691467285
