Averaged Steps Traning	Averaged Return Training	Averaged Steps Validation	Averaged Return Validation	Cumulative Successes	Number of episodes	Sampling time (s)	Epsilon threshold	Gradient update	Updates target network	Average q-value evaluation
150.0	-33.31	81.0	-23.3	5	20	0.0761993408203125	0.8719144789890841	0	2669	0.18263518810272217
32.0	-0.14	100.0	-27.44	10	40	0.007912814617156982	0.8449457310422349	0	5318	0.18263518810272217
150.0	-50.14	100.0	-24.23	15	60	0.0530913511912028	0.8201508074363849	1482	6351	-0.09557180851697922
150.0	-51.09	100.0	-16.09	23	80	0.03388122618198395	0.797417438863853	3859	6351	-0.09456250816583633
150.0	-44.91	80.0	-20.22	32	100	0.03010247468948364	0.7782623465964984	5916	6351	-0.08593957871198654
150.0	-28.96	82.0	-14.55	40	120	0.02428996761639913	0.7584814307088931	8099	6352	-0.3202589452266693
150.0	-43.58	81.0	-28.67	52	140	0.021359728063855853	0.7418878316475859	9975	6352	-0.32027778029441833
150.0	-49.57	62.0	-15.54	59	160	0.018636560440063475	0.7209109055114561	12418	6352	-0.33246591687202454
44.0	-0.17	100.0	-23.51	67	180	0.005049100187089708	0.7018805564297346	14700	6352	-0.3242461681365967
7.0	-0.13	81.0	-17.48	77	200	0.0007810080051422119	0.6852850841010082	16743	6353	-0.5636584758758545
69.0	-0.14	68.0	-16.23	90	220	0.006364178657531738	0.6692514125820088	18768	6353	-0.5611832141876221
18.0	-0.07	81.0	-27.39	98	240	0.0014763474464416504	0.6516186961227041	21059	6353	-0.5851472616195679
4.0	-0.14	80.0	-17.78	112	260	0.00019391041535597582	0.6414702282272636	22400	6353	-0.5501312613487244
4.0	-0.05	81.0	-18.34	125	280	0.000307020970753261	0.6287374089005336	24121	6354	-0.7998046278953552
21.0	-0.19	61.0	-11.46	134	300	0.0014212608337402343	0.6127504894224926	26342	6354	-0.8030667304992676
150.0	-32.72	44.0	-11.6	144	320	0.009569186717271805	0.5966787576097538	28640	6354	-0.798504650592804
9.0	-0.13	80.0	-26.15	156	340	0.0005499825758092544	0.5845024688714976	30422	6355	-1.0289572477340698
119.0	-0.23	49.0	-6.94	167	360	0.0066683656639522975	0.5709212347823446	32461	6355	-1.0339977741241455
150.0	-25.95	72.0	-14.25	178	380	0.008189691367902254	0.5574059377914952	34544	6355	-1.0348416566848755
89.0	-0.16	80.0	-16.83	187	400	0.004695306420326233	0.5440374625748597	36660	6355	-1.0359725952148438
82.0	-0.23	100.0	-18.27	198	420	0.004135520117623466	0.5322975993140459	38564	6356	-1.284225344657898
150.0	-41.81	63.0	-13.37	210	440	0.007273657755418258	0.5209250017970871	40453	6356	-1.2553942203521729
150.0	-35.96	100.0	-15.08	222	460	0.006698179244995117	0.5094643477161105	42404	6356	-1.2666499614715576
150.0	-24.19	69.0	-16.46	234	480	0.006344827512900035	0.49981498306916555	44082	6356	-1.2640475034713745
