Averaged Steps Traing	Averaged Return Training	Averaged Steps Validation	Averaged Return Validation	Cumulative Successes	Number of episodes	Sampling time (s)	Epsilon threshold	Gradient update	Updates target network	Average q-value evaluation
150.0	11.8	0.0	0.0	0	5	0.38594846725463866	0.8763874817169736	618	127	0.11542470753192902
150.0	9.34	0.0	0.0	1	10	0.2373819351196289	0.8579456852014387	1214	127	0.1159355565905571
150.0	10.35	0.0	0.0	1	15	0.17186559041341146	0.8355450048760997	1959	128	0.1854182332754135
150.0	9.28	80.0	15.9	3	20	0.14554742574691773	0.8152354060002858	2654	128	0.18029414117336273
150.0	9.0	0.0	0.0	4	25	0.11405503273010253	0.7945135883542966	3384	129	0.25289979577064514
6.0	1.75	0.0	0.0	6	30	0.003770621617635091	0.7818513878144133	3839	129	0.25561827421188354
150.0	10.83	0.0	0.0	6	35	0.06305388723100935	0.761699633848349	4584	130	0.3075396418571472
150.0	12.3	0.0	0.0	7	40	0.07166237235069275	0.7440470147229947	5255	130	0.31161484122276306
150.0	10.72	0.0	0.0	8	45	0.05969127549065484	0.7260133693542221	5960	130	0.30643102526664734
99.0	0.19	0.0	0.0	9	50	0.03607907295227051	0.7087524674337996	6654	131	0.3589457869529724
17.0	0.68	0.0	0.0	10	55	0.005803827805952592	0.6939123370026621	7266	131	0.35299912095069885
150.0	8.64	0.0	0.0	10	60	0.0369486133257548	0.6763595747635898	8011	132	0.39634832739830017
150.0	10.39	0.0	0.0	10	65	0.03637751799363356	0.6593255750472432	8756	132	0.3976658284664154
25.0	0.49	0.0	0.0	12	70	0.005757580484662737	0.6471110113726566	9303	133	0.4317993223667145
150.0	11.4	0.0	0.0	13	75	0.05470831235249837	0.6332187366377456	9941	133	0.4312451481819153
150.0	11.5	0.0	0.0	13	80	0.04171024560928345	0.6174597413744786	10686	134	0.46462327241897583
150.0	12.57	0.0	0.0	13	85	0.04056482034571031	0.602166494808029	11431	134	0.4666360020637512
150.0	11.54	0.0	0.0	13	90	0.03820442888471815	0.5873252319841619	12176	135	0.4992116093635559
150.0	9.95	0.0	0.0	13	95	0.035168025368138366	0.5729225947645203	12921	135	0.4988197982311249
150.0	11.3	0.0	0.0	14	100	0.03293605089187622	0.5597356855312102	13623	136	0.5258547067642212
105.0	0.18	0.0	0.0	15	105	0.016149800164358956	0.5469522330276989	14323	136	0.5258833169937134
102.0	0.19	120.0	19.32	16	110	0.017438797517256303	0.5345763844105401	15020	137	0.5593608021736145
150.0	13.08	0.0	0.0	16	115	0.028664101725039276	0.5217327112368682	15765	137	0.5527901649475098
150.0	12.37	0.0	0.0	17	120	0.02853506604830424	0.5098420033179722	16475	137	0.5516958236694336
150.0	9.86	0.0	0.0	17	125	0.030438070297241212	0.497729341580499	17220	138	0.5717103481292725
150.0	11.88	43.0	7.77	17	130	0.021356490942148063	0.4859746630979842	17965	138	0.5698330402374268
150.0	11.5	0.0	0.0	18	135	0.02881265569616247	0.4745973544560059	18708	139	0.5950643420219421
150.0	10.66	0.0	0.0	19	140	0.024542464528764997	0.4656994157993214	19304	139	0.5961136221885681
150.0	8.67	0.0	0.0	19	145	0.02433956902602623	0.45489136468375024	20049	140	0.6120167970657349
150.0	9.73	0.0	0.0	19	150	0.02399180253346761	0.4444027397522802	20794	140	0.6126054525375366
150.0	8.74	0.0	0.0	19	155	0.022563535936417117	0.4342241005344696	21539	141	0.6359433531761169
70.0	0.23	20.0	11.48	20	160	0.007628804445266724	0.4253858561075242	22204	141	0.6236048936843872
1.0	10.0	0.0	0.0	21	165	0.00012740510882753314	0.4176568549467925	22800	142	0.6444684267044067
150.0	10.76	0.0	0.0	23	170	0.02339053714976591	0.4095166006458325	23444	142	0.6406305432319641
150.0	12.3	0.0	0.0	23	175	0.02043217522757394	0.4003690026558654	24189	143	0.653569221496582
150.0	9.2	98.0	16.95	23	180	0.019839751720428466	0.39149175704380457	24934	143	0.6597389578819275
150.0	11.38	0.0	0.0	23	185	0.015111607474249762	0.38287687368936696	25679	144	0.6659485697746277
150.0	9.69	0.0	0.0	24	190	0.014687164206253855	0.3751101953226752	26370	144	0.6654608845710754
150.0	11.26	0.0	0.0	24	195	0.013857248501899915	0.36697946028454786	27115	145	0.6725172400474548
150.0	12.39	33.0	7.62	25	200	0.014038490056991577	0.3595350413692632	27817	145	0.6722052693367004
93.0	0.2	0.0	0.0	27	205	0.008639703145841273	0.352884212955345	28461	145	0.6734853982925415
150.0	9.44	0.0	0.0	28	210	0.01610683940705799	0.34625602029896396	29120	146	0.6815557479858398
150.0	9.68	0.0	0.0	28	215	0.01871630313784577	0.3389780550085604	29865	146	0.6854519248008728
150.0	12.95	0.0	0.0	30	220	0.018179776451804422	0.3325561561445758	30541	147	0.6913686990737915
150.0	12.13	0.0	0.0	31	225	0.017617311477661133	0.3268778410937382	31154	147	0.6917182803153992
150.0	10.82	0.0	0.0	31	230	0.01715933239978293	0.32017258755054645	31899	148	0.6951929926872253
150.0	10.65	0.0	0.0	31	235	0.018134798902146358	0.3136655041982457	32644	148	0.6964184641838074
150.0	11.42	0.0	0.0	32	240	0.011881593863169353	0.30854852076530426	33245	149	0.7032347917556763
150.0	12.06	0.0	0.0	33	245	0.011016064274067781	0.30260367435720625	33963	149	0.7036417126655579
150.0	10.64	0.0	0.0	35	250	0.011137904167175293	0.29789403836405415	34546	150	0.7108514904975891
93.0	0.19	46.0	13.78	36	255	0.007085939482146618	0.29248374866949456	35234	150	0.7082743644714355
150.0	11.58	0.0	0.0	36	260	0.017226023857410136	0.2867949941769846	35979	150	0.7127044200897217
150.0	12.71	0.0	0.0	36	265	0.01715852359555802	0.2812743677882743	36724	151	0.7174702882766724
150.0	11.68	0.0	0.0	36	270	0.01619874283119484	0.2759169005669604	37469	151	0.7142918109893799
150.0	11.78	0.0	0.0	37	275	0.015345779765735973	0.2709364290887421	38182	152	0.7250649333000183
150.0	9.98	0.0	0.0	38	280	0.010312609161649432	0.2665093939031882	38833	152	0.7265157103538513
150.0	12.88	76.0	16.11	39	285	0.010692542059379712	0.2622424347969611	39477	153	0.7204141020774841
150.0	10.36	0.0	0.0	40	290	0.012694860326832738	0.2579015484391519	40150	153	0.7223278880119324
150.0	11.16	0.0	0.0	41	295	0.014042063890877417	0.25384901934782134	40795	154	0.7256630659103394
150.0	10.68	0.0	0.0	41	300	0.01255044380823771	0.2493020936669113	41540	154	0.7286401391029358
150.0	11.36	60.0	9.45	42	305	0.008111077449360831	0.24534812509346576	42206	155	0.7326337695121765
150.0	10.83	76.0	10.67	42	310	0.008381902786993212	0.2410524388066037	42951	155	0.7317671775817871
150.0	11.66	0.0	0.0	43	315	0.01307818851773701	0.2369165652687757	43690	156	0.7340213656425476
150.0	11.91	0.0	0.0	43	320	0.013375408202409744	0.23287006923388617	44435	156	0.738153874874115
93.0	0.18	28.0	7.15	44	325	0.008400131372305063	0.2292374910509646	45123	157	0.7445007562637329
150.0	13.2	0.0	0.0	44	330	0.012505782011783484	0.2254179459574239	45868	157	0.7433990836143494
