Averaged Steps Training	Averaged Return Training	Averaged Steps Validation	Averaged Return Validation	Cumulative Successes	Number of episodes	Sampling time (s)	Epsilon threshold	Gradient update	Updates target network	Average q-value evaluation
50.0	-50.0	65.0	-64.2	2391	12320	6.759807273939059e-05	0.05086631980347219	532521	6330	-153.51321411132812
50.0	-50.0	83.0	-82.4	2393	12340	6.788511137135412e-05	0.05085572933479087	533485	6330	-151.2452392578125
43.0	-0.95	47.0	-45.6	2398	12360	6.179134436795626e-05	0.05084663242572239	534320	6330	-148.3372802734375
50.0	-50.0	74.0	-72.8	2403	12380	6.95056984613323e-05	0.05083781023793965	535138	6330	-151.9762725830078
50.0	-50.0	96.0	-95.6	2406	12400	6.611062634375788e-05	0.05082848947115741	536013	6330	-147.06040954589844
50.0	-50.0	84.0	-83.2	2407	12420	7.207879313716182e-05	0.050818443305823455	536969	6330	-151.54693603515625
50.0	-50.0	42.0	-40.2	2409	12440	6.85734955827523e-05	0.05080910534788768	537867	6330	-146.3944549560547
14.0	-0.86	80.0	-79.8	2413	12460	1.950862893706149e-05	0.05080012393023706	538740	6330	-147.00393676757812
50.0	-50.0	61.0	-59.8	2418	12480	6.799369286268186e-05	0.05079134112164663	539603	6330	-147.79588317871094
50.0	-50.0	86.0	-85.2	2422	12500	7.13315773010254e-05	0.0507824786427773	540484	6331	-152.4590301513672
44.0	-0.95	100.0	-100.0	2423	12520	6.116567709194585e-05	0.05077281649603116	541458	6331	-152.46255493164062
26.0	-0.92	76.0	-74.8	2427	12540	3.4414181868995774e-05	0.050763999113225704	542356	6331	-151.8942108154297
50.0	-50.0	80.0	-79.8	2429	12560	6.53476661937252e-05	0.05075515016874142	543268	6331	-148.693115234375
39.0	-0.95	81.0	-80.4	2435	12580	5.4741303757756995e-05	0.05074685169289443	544132	6331	-152.6724853515625
48.0	-0.96	86.0	-85.2	2438	12600	6.480688140505836e-05	0.05073809063481817	545056	6331	-152.12042236328125
50.0	-50.0	86.0	-85.2	2439	12620	6.781669123992678e-05	0.05072905861137381	546021	6331	-152.17050170898438
5.0	-0.6	100.0	-100.0	2443	12640	6.5197107158129725e-06	0.050721335336600136	546853	6331	-147.9344940185547
