Training steps	Validation return	Validation steps	Validation return std	Validation steps std	Q-value evaluation	Q-network loss	Policy-network loss	Alpha loss	Alpha
11000	-0.3366332973532802	60.0	0.12464338174454725	0.0	1.0	0.067946255	-1.4995399	-3.3578196	[0.36762312]
12000	-0.28161357006741866	60.0	0.08583817842683301	0.0	1.0	0.053997297	-1.1858001	-6.748369	[0.13520345]
13000	-0.27285204940784136	60.0	0.045358939796207684	0.0	1.0	0.15641913	-1.0679898	-10.099499	[0.04974687]
14000	-0.3365956862280539	60.0	0.08346861042483594	0.0	1.0	0.19643739	-1.024557	-13.367897	[0.01829845]
15000	-0.33510647158631746	60.0	0.06932060395673997	0.0	1.0	0.22381291	-1.0091476	-16.794172	[0.00673176]
16000	-0.24969860703194185	60.0	0.04232540337944259	0.0	1.0	0.22985923	-1.0035408	-20.578089	[0.00247653]
17000	-0.33890552548372677	60.0	0.022057561994417232	0.0	1.0	0.23847684	-1.0012165	-23.347786	[0.00091095]
18000	-0.36823393845863905	60.0	0.0993036988039469	0.0	1.0	0.24817012	-1.0004629	-27.051071	[0.00033515]
19000	-0.3857405635065046	60.0	0.118382146984329	0.0	1.0	0.23191652	-1.0001676	-30.230436	[0.00012329]
20000	-0.33062567253172626	60.0	0.08319433118069379	0.0	1.0	0.23562065	-1.0000601	-33.22065	[4.5377594e-05]
21000	-0.35917047256330503	60.0	0.10864150643555184	0.0	1.0	0.22414261	-1.0000228	-37.022743	[1.6687865e-05]
22000	-0.2813095313406047	60.0	0.03355809426843045	0.0	1.0	0.25997996	-1.0000083	-40.29499	[6.1415526e-06]
23000	-0.2863182569044012	60.0	0.03738313410359454	0.0	1.0	0.2480537	-1.0000031	-44.06871	[2.2589543e-06]
24000	-0.3603678422719261	60.0	0.10480034924780088	0.0	1.0	0.23747002	-1.0000012	-47.141705	[8.31015e-07]
25000	-0.4183291188675312	60.0	0.10841962837421047	0.0	1.0	0.2205258	-1.0000005	-50.06579	[3.0577252e-07]
26000	-0.26441156263554044	60.0	0.043292540475446416	0.0	1.0	0.24514568	-1.0000002	-53.972942	[1.124781e-07]
27000	-0.30134823060662563	60.0	0.05910068447912161	0.0	1.0	0.23777159	-1.0	-56.96995	[4.137514e-08]
28000	-0.30716500235266286	60.0	0.05184295070890093	0.0	1.0	0.22192949	-1.0	-60.810936	[1.5222138e-08]
29000	-0.3137170945370576	60.0	0.10769228191258817	0.0	1.0	0.2540096	-1.0	-63.82769	[5.600478e-09]
30000	-0.3337257816627824	60.0	0.052858967918133486	0.0	1.0	0.21151745	-1.0	-67.30467	[2.0600806e-09]
31000	-0.34409050520771955	60.0	0.035087170307525256	0.0	1.0	0.23846525	-1.0	-70.547104	[7.578902e-10]
32000	-0.240765114998589	60.0	0.02333024363634117	0.0	1.0	0.23472449	-1.0	-73.99084	[2.7882713e-10]
33000	-0.28678281706227965	60.0	0.06357160888459366	0.0	1.0	0.19614005	-1.0	-77.71777	[1.0254894e-10]
34000	-0.3309979069243035	60.0	0.07392636457656335	0.0	1.0	0.24479017	-1.0	-80.43643	[3.773781e-11]
35000	-0.3660626248898241	60.0	0.08406104688387186	0.0	1.0	0.25023437	-1.0	-84.409485	[1.3880502e-11]
36000	-0.2511611774356531	60.0	0.07035201476558099	0.0	1.0	0.2645067	-1.0	-86.92391	[5.1065267e-12]
37000	-0.31922613470973904	60.0	0.04971045309048501	0.0	1.0	0.23314773	-1.0	-90.686035	[1.8786758e-12]
38000	-0.27103153242608524	60.0	0.04820916065866541	0.0	1.0	0.22732237	-1.0	-94.37138	[6.909126e-13]
39000	-0.3036679595486298	60.0	0.10475584687378464	0.0	1.0	0.25051242	-1.0	-97.36627	[2.5422977e-13]
40000	-0.2565214988181956	60.0	0.03267893020769979	0.0	1.0	0.260992	-1.0	-101.05022	[9.3555704e-14]
41000	-0.2662122747895025	60.0	0.04666726328123448	0.0	1.0	0.25961277	-1.0	-103.391556	[3.4408887e-14]
42000	-0.39038672095936294	60.0	0.09369191935388049	0.0	1.0	0.25438282	-1.0	-107.50539	[1.2661315e-14]
43000	-0.4264548915745648	60.0	0.04388037388594763	0.0	1.0	0.23937461	-1.0	-110.903	[4.6580684e-15]
44000	-0.32905884420292925	60.0	0.055145235616940916	0.0	1.0	0.22918458	-1.0	-115.3533	[1.7134966e-15]
